row_label_raw,row_label_full,col_0,USD,EUR,AUD,CNY,SGD,numeric__USD,numeric__EUR,numeric__AUD,numeric__CNY,numeric__SGD
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,90.449.660,2.136,1.862.137,945,5.674,90449660.0,2136.0,1862137.0,945.0,5674.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,31.599.905,-,-,-,-,31599905.0,,,,
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,-,300.000,-,-,,,300000.0,,
Phải trả người bán,Phải trả người bán,Phải trả người bán,(732.123.076),(16.817.127),-,-,-,-732123076.0,-16817127.0,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(927.307.186),-,-,-,-,-927307186.0,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,(61.538.462),-,-,-,-,-61538462.0,,,,
,,,(1.598.919.159),(16.814.991),2.162.137,945,5.674,-1598919159.0,-16814991.0,2162137.0,945.0,5674.0
1/1/2021,1/1/2021,1/1/2021,1/1/2021,1/1/2021,1/1/2021,1/1/2021,1/1/2021,,,,,
,,,USD,EUR,AUD,,,,,,,
Tiền và các khoản tương đương tiền,1/1/2021 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,15.264.410,2.172,2.659.395,,,15264410.0,2172.0,2659395.0,,
Phải thu ngắn hạn của khách hàng,1/1/2021 > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,32.881.352,-,65.238,,,32881352.0,,65238.0,,
Phải thu dài hạn khác,1/1/2021 > Phải thu dài hạn khác,Phải thu dài hạn khác,-,-,23.918,,,,,23918.0,,
Phải thu về cho vay dài hạn,1/1/2021 > Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,-,300.000,,,,,300000.0,,
Phải trả người bán,1/1/2021 > Phải trả người bán,Phải trả người bán,(350.339.542),(21.323.019),-,,,-350339542.0,-21323019.0,,,
Vay ngắn hạn,1/1/2021 > Vay ngắn hạn,Vay ngắn hạn,(308.310.002),-,-,,,-308310002.0,,,,
Vay dài hạn,1/1/2021 > Vay dài hạn,Vay dài hạn,(184.615.385),-,-,,,-184615385.0,,,,
,,,(795.119.167),(21.320.847),3.048.551,,,-795119167.0,-21320847.0,3048551.0,,
