row_label_raw,row_label_full,STT,Công ty con cấp 3,Hoạt động chính,Tỷ lệ lợi ích trực tiếp của công ty con cấp 2,Tỷ lệ lợi ích trực tiếp của công ty con cấp 2_1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn_1,numeric__Công ty con cấp 3,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 2,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 2_1,numeric__Tỷ lệ lợi ích của Tập đoàn,numeric__Tỷ lệ lợi ích của Tập đoàn_1
STT,STT,STT,Công ty con cấp 3,Hoạt động chính,31/12/2021,1/1/2021,31/12/2021,1/1/2021,,,,,,
,,,Công ty con của Công ty Cổ phần Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty Cổ phần Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty Cổ phần Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty Cổ phần Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty Cổ phần Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty Cổ phần Xây dựng và Phát triển Đô thị Hòa Phát,,,,,,
23,STT > 23,23,Công ty TNHH Phát triển Hạ tầng KCN Hòa Phát Hưng Yên,"Xây dựng công trình dân dụng, công nghiệp, kinh doanh bất động sản thuộc quyền sở hữu hoặc đi thuê, cho thuê nhà xưởng, văn phòng, đầu tư và xây dựng đồng bộ hạ tầng kỹ thuật, kinh doanh nước sạch, thu gom rác thải, khai thác, xử lý và cung cấp nước và nhà hàng.",100%,100%,"99,746%","99,85%",,,1.0,1.0,0.9974599999999999,0.9984999999999999
24,STT > 24,24,Công ty TNHH Quản lý Khai thác Khu công nghiệp Hòa Mạc,"Xây dựng công trình dân dụng, công nghiệp, kinh doanh bất động sản thuộc quyền sở hữu hoặc đi thuê, cho thuê nhà xưởng, văn phòng, đầu tư và xây dựng đồng bộ hạ tầng kỹ thuật, kinh doanh nước sạch, thu gom rác thải, khai thác, xử lý và cung cấp nước.",100%,100%,"99,746%","99,85%",,,1.0,1.0,0.9974599999999999,0.9984999999999999
25,STT > 25,25,Công ty TNHH MTV Xây dựng và Phát triển Đô thị Hòa Phát Hưng Yên,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.",100%,100%,"99,746%","99,85%",,,1.0,1.0,0.9974599999999999,0.9984999999999999
26,STT > 26,26,Công ty Cổ phần Golden Gain Việt Nam,Kinh doanh bất động sản.,"99,99%","99,99%","99,736%","99,84%",,,0.9998999999999999,0.9998999999999999,0.99736,0.9984000000000001
27,STT > 27,27,Công ty Cổ phần Xây dựng Long Việt Công ty con của Công ty TNHH Thức ăn chăn nuôi Hòa Phát Hưng Yên,"Xây dựng công trình dân dụng, công nghiệp.","99,80%","99,80%","99,547%","99,65%",,,0.998,0.998,0.99547,0.9965
28,STT > 28,28,Công ty TNHH Thức ăn Chăn nuôi Hòa Phát Đồng Nai (v),"Sản xuất và chế biến thức ăn gia súc, gia cầm và thủy sản.",100%,0%,"99,999%","99,999%",,,1.0,0.0,0.9999899999999999,0.9999899999999999
29,STT > 29,29,Công ty TNHH Thức ăn chăn nuôi Hòa Phát Phú Thọ (iv),Sản xuất thức ăn chăn nuôi,100%,0%,"99,999%",0%,,,1.0,0.0,0.9999899999999999,0.0
,,,Công ty con của Công ty TNHH Thương mại Hòa Phát,Công ty con của Công ty TNHH Thương mại Hòa Phát,Công ty con của Công ty TNHH Thương mại Hòa Phát,Công ty con của Công ty TNHH Thương mại Hòa Phát,Công ty con của Công ty TNHH Thương mại Hòa Phát,Công ty con của Công ty TNHH Thương mại Hòa Phát,,,,,,
30,STT > 30,30,Công ty TNHH Chăn nuôi Hòa Phát Quảng Bình,"Chăn nuôi gia súc, gia cầm; hoạt động dịch vụ trồng trọt.","72,72%","72,72%","72,647%","72,647%",,,0.7272,0.7272,0.7264700000000001,0.7264700000000001
