row_label_raw,row_label_full,Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > - Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,31/12/2021 > Giá trị ghi số Triệu VND > 18.236.153 > -,31/12/2021 > Giá trị hợp lý Triệu VND > 18.236.153 > (*),1/1/2021 > Giá trị ghi số Triệu VND > 8.126.993 > 170.000,1/1/2021 > Giá trị hợp lý Triệu VND > 8.126.993 > (*),numeric__31/12/2021 > Giá trị ghi số Triệu VND > 18.236.153 > -,numeric__31/12/2021 > Giá trị hợp lý Triệu VND > 18.236.153 > (*),numeric__1/1/2021 > Giá trị ghi số Triệu VND > 8.126.993 > 170.000,numeric__1/1/2021 > Giá trị hợp lý Triệu VND > 8.126.993 > (*)
Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,,,,,,,,
- Tiền và các khoản tương đương tiền,Dược phân loại là các khoản cho vay và phải thu: > - Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,22.471.376,22.471.376,13.696.099,13.696.099,22471376.0,22471376.0,13696099.0,13696099.0
"- Phải thu ngắn hạn của khách hàng, phải thu về cho vay ngắn hạn và phải thu ngắn hạn khác","Dược phân loại là các khoản cho vay và phải thu: > - Phải thu ngắn hạn của khách hàng, phải thu về cho vay ngắn hạn và phải thu ngắn hạn khác","- Phải thu ngắn hạn của khách hàng, phải thu về cho vay ngắn hạn và phải thu ngắn hạn khác",5.542.943,5.542.943,4.267.310,4.267.310,5542943.0,5542943.0,4267310.0,4267310.0
- Phải thu về cho vay dài hạn và phải thu dài hạn khác,Dược phân loại là các khoản cho vay và phải thu: > - Phải thu về cho vay dài hạn và phải thu dài hạn khác,- Phải thu về cho vay dài hạn và phải thu dài hạn khác,119.105,(*),96.439,(*),119105.0,,96439.0,
Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,,,,,,,,
- Các khoản đầu tư vào công cụ vốn chủ sở hữu,Dược phân loại là tài sản tài chính sẵn sàng để bán: > - Các khoản đầu tư vào công cụ vốn chủ sở hữu,- Các khoản đầu tư vào công cụ vốn chủ sở hữu,700,(*),700,(*),700.0,,700.0,
Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,,,,,,,,
- Phải trả người bán ngắn hạn và phải trả ngắn hạn khác,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Phải trả người bán ngắn hạn và phải trả ngắn hạn khác,- Phải trả người bán ngắn hạn và phải trả ngắn hạn khác,(24.623.696),(24.623.696),(11.654.368),(11.654.368),-24623696.0,-24623696.0,-11654368.0,-11654368.0
"- Phải trả người bán dài hạn, chi phí phải trả dài hạn và phải trả dài hạn khác","Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Phải trả người bán dài hạn, chi phí phải trả dài hạn và phải trả dài hạn khác","- Phải trả người bán dài hạn, chi phí phải trả dài hạn và phải trả dài hạn khác",(28.083),(*),(2.664.734),(*),-28083.0,,-2664734.0,
- Các khoản vay,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản vay,- Các khoản vay,(57.212.575),(*),(54.141.713),(*),-57212575.0,,-54141713.0,
,,,(35.494.077),,(42.103.274),,-35494077.0,,-42103274.0,
