row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Nông nghiệp VND,Bất động sản VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Nông nghiệp VND,numeric__Bất động sản VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,,,,,
Doanh thu thuần ra bên ngoài,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Doanh thu thuần ra bên ngoài,Doanh thu thuần ra bên ngoài,140.074.742.351.975,7.965.299.897.301,1.639.747.730.069,-,149.679.789.979.345,140074742351975.0,7965299897301.0,1639747730069.0,,149679789979345.0
Doanh thu thuần giữa các bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,27.746.186.109.678,1.123.181.111,37.213.810.590,(27.784.523.101.379),-,27746186109678.0,1123181111.0,37213810590.0,-27784523101379.0,
Tổng doanh thu của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,167.820.928.461.653,7.966.423.078.412,1.676.961.540.659,(27.784.523.101.379),149.679.789.979.345,167820928461653.0,7966423078412.0,1676961540659.0,-27784523101379.0,149679789979345.0
Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,44.976.166.806.986,785.581.688.132,628.383.691.499,(9.386.154.043.217),37.003.978.143.400,44976166806986.0,785581688132.0,628383691499.0,-9386154043217.0,37003978143400.0
Thu nhập khác,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Thu nhập khác,Thu nhập khác,791.808.510.874,4.029.020.878,857.043.173,(28.469.000),796.666.105.925,791808510874.0,4029020878.0,857043173.0,-28469000.0,796666105925.0
Chi phí khác,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi phí khác,Chi phí khác,(714.474.346.318),(32.867.382.715),(990.108.967),-,(748.331.838.000),-714474346318.0,-32867382715.0,-990108967.0,,-748331838000.0
Phần lãi trong công ty liên kết,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,(3.105.560),4.465.302.865,-,3.105.560,4.465.302.865,-3105560.0,4465302865.0,,3105560.0,4465302865.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(2.679.933.606.708),(50.291.071.876),(125.081.668.583),-,(2.855.306.347.167),-2679933606708.0,-50291071876.0,-125081668583.0,,-2855306347167.0
Lợi ích thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,42.861.929.677,7.497.797.454,4.872.233.344,264.251.603.800,319.483.564.275,42861929677.0,7497797454.0,4872233344.0,264251603800.0,319483564275.0
Lợi nhuận thuần sau thuế,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,42.416.426.188.951,718.415.354.738,508.041.190.466,(9.121.927.802.857),34.520.954.931.298,42416426188951.0,718415354738.0,508041190466.0,-9121927802857.0,34520954931298.0
