row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,33.132.826.590.000,3.211.560.416.270,5.568.369.072,928.641.612.156,21.792.442.633.285,148.746.685.328,59.219.786.306.111,33132826590000.0,3211560416270.0,5568369072.0,928641612156.0,21792442633285.0,148746685328.0,59219786306111.0
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,10.630.000.000,10.630.000.000,,,,,,10630000000.0,10630000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,34.478.143.197.460,42.811.733.838,34.520.954.931.298,,,,,34478143197460.0,42811733838.0,34520954931298.0
Trả cổ tức bằng cổ phiếu (Thuyết minh 29),Trả cổ tức bằng cổ phiếu (Thuyết minh 29),Trả cổ tức bằng cổ phiếu (Thuyết minh 29),11.596.400.470.000,-,-,-,(11.596.400.470.000),-,-,11596400470000.0,,,,-11596400470000.0,,
Trả cổ tức bằng tiền (Thuyết minh 29),Trả cổ tức bằng tiền (Thuyết minh 29),Trả cổ tức bằng tiền (Thuyết minh 29),-,-,-,-,(1.656.641.329.500),-,(1.656.641.329.500),,,,,-1656641329500.0,,-1656641329500.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(1.247.766.885.013),(1.099.172.400),(1.248.866.057.413),,,,,-1247766885013.0,-1099172400.0,-1248866057413.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,5.000.000.000,(3.636.000.000),(1.364.000.000),-,,,,5000000000.0,-3636000000.0,-1364000000.0,
Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,(43.147.732.864),(43.147.732.864),,,,,,-43147732864.0,-43147732864.0
Anh hưởng của việc chuyển đổi đồng tiền báo cáo,Anh hưởng của việc chuyển đổi đồng tiền báo cáo,Anh hưởng của việc chuyển đổi đồng tiền báo cáo,-,-,(7.494.329.924),-,-,-,(7.494.329.924),,,-7494329924.0,,,,-7494329924.0
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,-,-,-,-,-,(1.681.609.544),(1.681.609.544),,,,,,-1681609544.0,-1681609544.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(10.092.308.034),(2.715.175.320),(107.183.371),(12.914.666.725),,,,-10092308034.0,-2715175320.0,-107183371.0,-12914666725.0
Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,44.729.227.060.000,3.211.560.416.270,(1.925.960.852),923.549.304.122,41.763.425.970.912,154.788.720.987,90.780.625.511.439,44729227060000.0,3211560416270.0,-1925960852.0,923549304122.0,41763425970912.0,154788720987.0,90780625511439.0
