row_label_raw,row_label_full,col_0,Nhà cửa VND,Quyền sử dụng đất VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Quyền sử dụng đất VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,626.229.143.791,55.702.700.965,681.931.844.756,626229143791.0,55702700965.0,681931844756.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,16.888.300.558,-,16.888.300.558,16888300558.0,,16888300558.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,643.117.444.349,55.702.700.965,698.820.145.314,643117444349.0,55702700965.0,698820145314.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,117.634.870.955,-,117.634.870.955,117634870955.0,,117634870955.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,32.974.519.236,-,32.974.519.236,32974519236.0,,32974519236.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,150.609.390.191,-,150.609.390.191,150609390191.0,,150609390191.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,508.594.272.836,55.702.700.965,564.296.973.801,508594272836.0,55702700965.0,564296973801.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,492.508.054.158,55.702.700.965,548.210.755.123,492508054158.0,55702700965.0,548210755123.0
