row_label_raw,row_label_full,col_0,1/1/2021,1/1/2021_1,Số phải nộp/bù trừvới thuế đượckhẩu trừ trong kỳVND,Số đã nộp trong kỳVND,Biến động khácVND,Bản công ty conVND,31/12/2021,31/12/2021_1,numeric__1/1/2021,numeric__1/1/2021_1,numeric__Số phải nộp/bù trừvới thuế đượckhẩu trừ trong kỳVND,numeric__Số đã nộp trong kỳVND,numeric__Biến động khácVND,numeric__Bản công ty conVND,numeric__31/12/2021,numeric__31/12/2021_1
,,,Số phải thuVND,Số phải nộpVND,Số phải nộp/bù trừvới thuế đượckhẩu trừ trong kỳVND,Số đã nộp trong kỳVND,Biến động khácVND,Bản công ty conVND,Số phải thuVND,Số phải nộpVND,,,,,,,,
Thuế giá trị gia tang,Thuế giá trị gia tang,Thuế giá trị gia tang,907.013.153,46.089.988.666,9.090.103.627.801,(8.974.331.791.559),(6.027.530.677),(8.620.873.921),904.351.907,147.210.759.064,907013153.0,46089988666.0,9090103627801.0,-8974331791559.0,-6027530677.0,-8620873921.0,904351907.0,147210759064.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,267.859.720,47.938.972.987,(47.753.787.634),-,-,-,453.045.073,,267859720.0,47938972987.0,-47753787634.0,,,,453045073.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,464.061.729,-,444.333.041.648,(443.968.977.959),1.225.778,-,482.959.432,384.187.170,464061729.0,,444333041648.0,-443968977959.0,1225778.0,,482959432.0,384187170.0
Thuế thu nhập doanhnghiệp,Thuế thu nhập doanhnghiệp,Thuế thu nhập doanhnghiệp,9.900.145.200,489.301.541.892,2.855.306.347.167,(2.743.083.962.430),9.185.951.398,(12.936.131.724),13.940.385.310,601.813.986.413,9900145200.0,489301541892.0,2855306347167.0,-2743083962430.0,9185951398.0,-12936131724.0,13940385310.0,601813986413.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,-,7.101.569.591,135.359.506.516,(122.131.115.727),-,-,3.000.000,20.332.960.380,,7101569591.0,135359506516.0,-122131115727.0,,,3000000.0,20332960380.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,91.404.768,1.970.355.994,133.626.254.714,(114.892.916.337),(11.859.775),(77.687.103),19.988.250,20.542.730.975,91404768.0,1970355994.0,133626254714.0,-114892916337.0,-11859775.0,-77687103.0,19988250.0,20542730975.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,1.966.737.296,2.823.353.466,99.012.076.966,(98.444.996.271),-,(409.200),1.956.526.626,3.379.814.291,1966737296.0,2823353466.0,99012076966.0,-98444996271.0,,-409200.0,1956526626.0,3379814291.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,479.878.056,-,12.844.098.086,(12.805.729.068),-,-,452.862.462,11.353.424,479878056.0,,12844098086.0,-12805729068.0,,,452862462.0,11353424.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,7.561.798,1.024.592.124,132.725.849.568,(131.857.316.443),-,(1.227.600),9.068.480,1.893.404.331,7561798.0,1024592124.0,132725849568.0,-131857316443.0,,-1227600.0,9068480.0,1893404331.0
,,,13.816.802.000,548.579.261.453,12.951.249.775.453,(12.689.270.593.428),3.147.786.724,(21.636.329.548),17.769.142.467,796.022.241.121,13816802000.0,548579261453.0,12951249775453.0,-12689270593428.0,3147786724.0,-21636329548.0,17769142467.0,796022241121.0
