row_label_raw,row_label_full,col_0,Tỷ giá tại ngày > 31/12/2021,Tỷ giá tại ngày > 1/1/2021,numeric__Tỷ giá tại ngày > 31/12/2021,numeric__Tỷ giá tại ngày > 1/1/2021
Tỷ giá mua USD/VND,Tỷ giá mua USD/VND,Tỷ giá mua USD/VND,22.640,23.035,22640.0,23035.0
Tỷ giá bán USD/VND,Tỷ giá bán USD/VND,Tỷ giá bán USD/VND,22.920,23.215,22920.0,23215.0
Tỷ giá mua EUR/VND,Tỷ giá mua EUR/VND,Tỷ giá mua EUR/VND,25.391,27.934,25391.0,27934.0
Tỷ giá bán EUR/VND,Tỷ giá bán EUR/VND,Tỷ giá bán EUR/VND,26.546,29.065,26546.0,29065.0
Tỷ giá mua AUD/VND,Tỷ giá mua AUD/VND,Tỷ giá mua AUD/VND,16.256,17.513,16256.0,17513.0
Tỷ giá bán AUD/VND,Tỷ giá bán AUD/VND,Tỷ giá bán AUD/VND,16.780,18.062,16780.0,18062.0
Tỷ giá mua CNY/VND,Tỷ giá mua CNY/VND,Tỷ giá mua CNY/VND,3.538,3.496,3538.0,3496.0
Tỷ giá bán CNY/VND,Tỷ giá bán CNY/VND,Tỷ giá bán CNY/VND,3.653,3.606,3653.0,3606.0
Tỷ giá mua SGD/VND,Tỷ giá mua SGD/VND,Tỷ giá mua SGD/VND,16.587,17.204,16587.0,17204.0
Tỷ giá bán SGD/VND,Tỷ giá bán SGD/VND,Tỷ giá bán SGD/VND,17.122,17.743,17122.0,17743.0
