row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Nông nghiệp VND,Bất động sản VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Nông nghiệp VND,numeric__Bất động sản VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,,,,
Tải sản của bộ phận,Tại ngày 31 tháng 12 năm 2021 > Tải sản của bộ phận,Tải sản của bộ phận,182.140.501.672.091,6.739.950.813.015,5.097.934.906.510,(15.741.965.033.367),178.236.422.358.249,182140501672091.0,6739950813015.0,5097934906510.0,-15741965033367.0,178236422358249.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2021 > Tổng tài sản,Tổng tài sản,182.140.501.672.091,6.739.950.813.015,5.097.934.906.510,(15.741.965.033.367),178.236.422.358.249,182140501672091.0,6739950813015.0,5097934906510.0,-15741965033367.0,178236422358249.0
Nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2021 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,95.945.837.928.553,2.716.416.880.066,2.586.659.373.137,(13.793.117.334.946),87.455.796.846.810,95945837928553.0,2716416880066.0,2586659373137.0,-13793117334946.0,87455796846810.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2021 > Tổng nợ phải trả,Tổng nợ phải trả,95.945.837.928.553,2.716.416.880.066,2.586.659.373.137,(13.793.117.334.946),87.455.796.846.810,95945837928553.0,2716416880066.0,2586659373137.0,-13793117334946.0,87455796846810.0
Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi tiêu vốn,Chi tiêu vốn,11.027.958.527.854,564.376.985.019,35.476.427.767,(6.341.848.269),11.621.470.092.371,11027958527854.0,564376985019.0,35476427767.0,-6341848269.0,11621470092371.0
Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,5.494.898.151.540,566.063.167.113,66.262.923.958,(75.094.111.183),6.052.130.131.428,5494898151540.0,566063167113.0,66262923958.0,-75094111183.0,6052130131428.0
Khẩu hao tài sản cố định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,14.939.190.675,644.333.131,81.222.371,(512.913.690),15.151.832.487,14939190675.0,644333131.0,81222371.0,-512913690.0,15151832487.0
Phân bổ chi phí đất trả trước dài hạn,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Phân bổ chi phí đất trả trước dài hạn,Phân bổ chi phí đất trả trước dài hạn,23.262.371.403,7.538.249.435,-,(15.881.111.559),14.919.509.279,23262371403.0,7538249435.0,,-15881111559.0,14919509279.0
