row_label_raw,row_label_full,col_0,col_1,col_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_3,numeric__col_1,numeric__col_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_3
,,,,,Tỷ lệ lợi ích trực tiếp của công ty con cấp 4,Tỷ lệ lợi ích trực tiếp của công ty con cấp 4,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn,,,,,,
STT,STT,STT,Công ty con cấp 5,Hoạt động chính,31/12/2021,1/1/2021,31/12/2021,1/1/2021,,,,,,
,,,Công ty con của Công ty Cổ phần Đầu tư và Dịch vụ Hà Nội,Công ty con của Công ty Cổ phần Đầu tư và Dịch vụ Hà Nội,,,,,,,,,,
1,STT > 1,1,Công ty TNHH Kinh doanh Dịch vụBảo vệ Hà Nội,Dịch vụ bảo vệ,100%,100%,"95,016%","95,111%",,,1.0,1.0,0.95016,0.95111
,,,Công ty con của Dragon Resource Investment Pty Ltd.,Công ty con của Dragon Resource Investment Pty Ltd.,,,,,,,,,,
2,STT > 2,2,Northern Territory Iron Ore Pty Ltd. (vi),"Thăm dò, khai thác khoáng sản",100%,0%,"99,969%",0%,,,1.0,0.0,0.99969,0.0
