row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Vật nuôi VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Vật nuôi VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,31.048.399.319.216,49.245.042.327.829,1.894.959.633.763,153.443.837.440,266.270.582.463,8.485.397.267,82.616.601.097.978,31048399319216.0,49245042327829.0,1894959633763.0,153443837440.0,266270582463.0,8485397267.0,82616601097978.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,7.855.752.704,282.202.563.415,324.230.233.241,36.345.647.679,-,671.560.000,651.305.757.039,7855752704.0,282202563415.0,324230233241.0,36345647679.0,,671560000.0,651305757039.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,(539.581.451.366),(419.623.330.511),(52.968.233.956),(5.279.095.562),-,-,(1.017.452.111.395),-539581451366.0,-419623330511.0,-52968233956.0,-5279095562.0,,,-1017452111395.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,1.792.685.751.143,5.792.851.272.029,1.519.615.194.191,7.546.466.827,5.892.036.978,-,9.118.590.721.168,1792685751143.0,5792851272029.0,1519615194191.0,7546466827.0,5892036978.0,,9118590721168.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(16.128.883.436),(829.256.478),(285.252.415),-,-,-,(17.243.392.329),-16128883436.0,-829256478.0,-285252415.0,,,,-17243392329.0
Chuyển từ chi phí trả trước dài hạn,Nguyên giá > Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,13.331.250.000,-,-,-,-,-,13.331.250.000,13331250000.0,,,,,,13331250000.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(21.487.044.961),(153.371.040.871),(23.450.178.358),(1.139.633.967),(136.026.082.300),(328.630.770),(335.802.611.227),-21487044961.0,-153371040871.0,-23450178358.0,-1139633967.0,-136026082300.0,-328630770.0,-335802611227.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(306.488.331),1.418.488.331,-,-,-,(1.112.000.000),-,-306488331.0,1418488331.0,,,,-1112000000.0,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(43.413.200),(1.267.079.793),(245.786.058),(1.668.423.506),-,-,(3.224.702.557),-43413200.0,-1267079793.0,-245786058.0,-1668423506.0,,,-3224702557.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,32.284.724.791.769,54.746.423.943.951,3.661.855.610.408,189.248.798.911,136.136.537.141,7.716.326.497,91.026.106.008.677,32284724791769.0,54746423943951.0,3661855610408.0,189248798911.0,136136537141.0,7716326497.0,91026106008677.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
