row_label_raw,row_label_full,col_0,Chỉ phíbảo hànhVND,Dự phòng khốiphục môi trườngVND,Tổng cộngVND,numeric__Chỉ phíbảo hànhVND,numeric__Dự phòng khốiphục môi trườngVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,20.633.351.453,11.214.115.913,31.847.467.366,20633351453.0,11214115913.0,31847467366.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,2.511.916.178,23.922.924.488,26.434.840.666,2511916178.0,23922924488.0,26434840666.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(15.997.537),-,(15.997.537),-15997537.0,,-15997537.0
Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,(4.199.822.403),-,(4.199.822.403),-4199822403.0,,-4199822403.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,18.929.447.691,35.137.040.401,54.066.488.092,18929447691.0,35137040401.0,54066488092.0
Ngắn hạn,Ngắn hạn,Ngắn hạn,4.755.735.476,-,4.755.735.476,4755735476.0,,4755735476.0
Dải hạn,Dải hạn,Dải hạn,14.173.712.215,35.137.040.401,49.310.752.616,14173712215.0,35137040401.0,49310752616.0
