row_label_raw,row_label_full,col_0,Công ty Cổ phần Nội thất Hòa Phát VND,Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát,Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát_1,Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát_2,numeric__Công ty Cổ phần Nội thất Hòa Phát VND,numeric__Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát,numeric__Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát_1,numeric__Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát_2
,,,Công ty Cổ phần Nội thất Hòa Phát VND,Công ty Cổ phần Vạn Thắng Phú Thọ VND,Công ty TNHH MTV Chăn nuôi Hòa Phát Lạng Sơn VND,Tổng VND,,,,
Giá trị ghi sổ tại thời điểm thanh lý,Giá trị ghi sổ tại thời điểm thanh lý,Giá trị ghi sổ tại thời điểm thanh lý,Giá trị ghi sổ tại thời điểm thanh lý,Giá trị ghi sổ tại thời điểm thanh lý,Giá trị ghi sổ tại thời điểm thanh lý,Giá trị ghi sổ tại thời điểm thanh lý,,,,
Tiền và các khoản tương đương tiến,Giá trị ghi sổ tại thời điểm thanh lý > Tiền và các khoản tương đương tiến,Tiền và các khoản tương đương tiến,97.305.453.774,17.364.281.259,221.236.686,114.890.971.719,97305453774.0,17364281259.0,221236686.0,114890971719.0
Các khoản phải thu ngắn hạn,Giá trị ghi sổ tại thời điểm thanh lý > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,201.206.354.951,26.634.521,-,201.232.989.472,201206354951.0,26634521.0,,201232989472.0
Háng tồn kho,Giá trị ghi sổ tại thời điểm thanh lý > Háng tồn kho,Háng tồn kho,342.679.773.727,-,-,342.679.773.727,342679773727.0,,,342679773727.0
Tải sản ngắn hạn khác,Giá trị ghi sổ tại thời điểm thanh lý > Tải sản ngắn hạn khác,Tải sản ngắn hạn khác,1.260.131.232,-,115.577.174,1.375.708.406,1260131232.0,,115577174.0,1375708406.0
Tải sản cổ định,Giá trị ghi sổ tại thời điểm thanh lý > Tải sản cổ định,Tải sản cổ định,280.701.670.324,637.752.586,-,281.339.422.910,280701670324.0,637752586.0,,281339422910.0
Tải sản dở dang dài hạn,Giá trị ghi sổ tại thời điểm thanh lý > Tải sản dở dang dài hạn,Tải sản dở dang dài hạn,26.645.430,22.776.103.739,5.038.674.325,27.841.423.494,26645430.0,22776103739.0,5038674325.0,27841423494.0
Tải sản dài hạn khác,Giá trị ghi sổ tại thời điểm thanh lý > Tải sản dài hạn khác,Tải sản dài hạn khác,78.028.813.926,-,-,78.028.813.926,78028813926.0,,,78028813926.0
Nợ phải trả ngắn hạn,Giá trị ghi sổ tại thời điểm thanh lý > Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(601.208.843.364),-,-,(601.208.843.364),-601208843364.0,,,-601208843364.0
Tải sản và nợ phải trả thuần có thể xác định được,Giá trị ghi sổ tại thời điểm thanh lý > Tải sản và nợ phải trả thuần có thể xác định được,Tải sản và nợ phải trả thuần có thể xác định được,400.000.000.000,40.804.772.105,5.375.488.185,446.180.260.290,400000000000.0,40804772105.0,5375488185.0,446180260290.0
Lợi ích cổ đông không kiểm soát,Giá trị ghi sổ tại thời điểm thanh lý > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(1.600.000.000),(81.609.544),-,(1.681.609.544),-1600000000.0,-81609544.0,,-1681609544.0
Lợi ích của Tập đoàn trong giá trị tài sản và nợ phải trả thuần,Giá trị ghi sổ tại thời điểm thanh lý > Lợi ích của Tập đoàn trong giá trị tài sản và nợ phải trả thuần,Lợi ích của Tập đoàn trong giá trị tài sản và nợ phải trả thuần,398.400.000.000,40.723.162.561,5.375.488.185,444.498.650.746,398400000000.0,40723162561.0,5375488185.0,444498650746.0
Giá chuyển nhượng,Giá trị ghi sổ tại thời điểm thanh lý > Giá chuyển nhượng,Giá chuyển nhượng,896.400.000.000,48.800.000.000,7.020.000.000,952.220.000.000,896400000000.0,48800000000.0,7020000000.0,952220000000.0
Chi phí chuyển nhượng,Giá trị ghi sổ tại thời điểm thanh lý > Chi phí chuyển nhượng,Chi phí chuyển nhượng,-,(3.500.000.000),-,(3.500.000.000),,-3500000000.0,,-3500000000.0
Lãi do thanh lý công ty con ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất,Giá trị ghi sổ tại thời điểm thanh lý > Lãi do thanh lý công ty con ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất,Lãi do thanh lý công ty con ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất,498.000.000.000,4.576.837.439,1.644.511.815,504.221.349.254,498000000000.0,4576837439.0,1644511815.0,504221349254.0
