row_label_raw,row_label_full,17. Chi phí trả trước,17. Chi phí trả trước_1,17. Chi phí trả trước_2,17. Chi phí trả trước_3,17. Chi phí trả trước_4,17. Chi phí trả trước_5,17. Chi phí trả trước_6,17. Chi phí trả trước_7,numeric__17. Chi phí trả trước_1,numeric__17. Chi phí trả trước_2,numeric__17. Chi phí trả trước_3,numeric__17. Chi phí trả trước_4,numeric__17. Chi phí trả trước_5,numeric__17. Chi phí trả trước_6,numeric__17. Chi phí trả trước_7
17.1 Chi phí trả trước ngắn hạn,17.1 Chi phí trả trước ngắn hạn,17.1 Chi phí trả trước ngắn hạn,17.1 Chi phí trả trước ngắn hạn,17.1 Chi phí trả trước ngắn hạn,17.1 Chi phí trả trước ngắn hạn,17.1 Chi phí trả trước ngắn hạn,17.1 Chi phí trả trước ngắn hạn,17.1 Chi phí trả trước ngắn hạn,17.1 Chi phí trả trước ngắn hạn,,,,,,,
,,,31/12/2021VND,1/1/2021VND,,,,,,,,,,,,
Công cụ và dụng cụ,17.1 Chi phí trả trước ngắn hạn > Công cụ và dụng cụ,Công cụ và dụng cụ,57.049.396.049,55.169.511.816,,,,,,57049396049.0,55169511816.0,,,,,
"Chi phí báo dưỡng, sửa chữa tài sản","17.1 Chi phí trả trước ngắn hạn > Chi phí báo dưỡng, sửa chữa tài sản","Chi phí báo dưỡng, sửa chữa tài sản",40.021.578.255,13.672.648.361,,,,,,40021578255.0,13672648361.0,,,,,
Chi phí khác,17.1 Chi phí trả trước ngắn hạn > Chi phí khác,Chi phí khác,199.626.374.046,72.555.886.622,,,,,,199626374046.0,72555886622.0,,,,,
,,,296.697.348.350,141.398.046.799,,,,,,296697348350.0,141398046799.0,,,,,
17.2 Chi phí trả trước dài hạn,17.2 Chi phí trả trước dài hạn,17.2 Chi phí trả trước dài hạn,17.2 Chi phí trả trước dài hạn,17.2 Chi phí trả trước dài hạn,17.2 Chi phí trả trước dài hạn,17.2 Chi phí trả trước dài hạn,17.2 Chi phí trả trước dài hạn,17.2 Chi phí trả trước dài hạn,17.2 Chi phí trả trước dài hạn,,,,,,,
,,,Công cụ và dụng cụVND,"Chi phí đại tu, sửa chữa lớnVND",Chi phí đất trả trướcVND,Chi phí giải phóng mặt bằngVND,Chi phí trước hoạt độngVND,Chi phí trả trước khácVND,Tổng cộngVND,,,,,,,
Số dư đầu năm,17.2 Chi phí trả trước dài hạn > Số dư đầu năm,Số dư đầu năm,133.368.836.133,187.668.766.424,776.613.596.768,302.326.105.504,81.779.372.759,164.337.840.876,1.646.094.518.464,133368836133.0,187668766424.0,776613596768.0,302326105504.0,81779372759.0,164337840876.0,1646094518464.0
Tăng trong năm,17.2 Chi phí trả trước dài hạn > Tăng trong năm,Tăng trong năm,117.938.792.132,799.439.227.244,921.855.549.265,8.642.172.423,8.594.399.791,16.788.264.568,1.873.258.405.423,117938792132.0,799439227244.0,921855549265.0,8642172423.0,8594399791.0,16788264568.0,1873258405423.0
Giảm do thanh lý công ty con,17.2 Chi phí trả trước dài hạn > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,,(63.013.934.804),-,-,-,(63.013.934.804),,,-63013934804.0,,,,-63013934804.0
Chuyển từ xây dựng cơ bản dở dang,17.2 Chi phí trả trước dài hạn > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,24.962.470.072,27.489.466.074,39.137.887.303,22.761.466.988,-,32.437.948.609,146.789.239.046,24962470072.0,27489466074.0,39137887303.0,22761466988.0,,32437948609.0,146789239046.0
Chuyển sang tài sản cố định hữu hình,17.2 Chi phí trả trước dài hạn > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,-,(13.331.250.000),-,-,-,(13.331.250.000),,,-13331250000.0,,,,-13331250000.0
Chuyển từ tài sản cố định hữu hình,17.2 Chi phí trả trước dài hạn > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,-,-,-,15.227.666.599,15.227.666.599,,,,,,15227666599.0,15227666599.0
Phân bổ trong năm,17.2 Chi phí trả trước dài hạn > Phân bổ trong năm,Phân bổ trong năm,(109.916.393.247),(139.190.486.129),(14.919.509.279),(11.426.803.088),(36.207.857.131),(113.508.936.755),(425.169.985.629),-109916393247.0,-139190486129.0,-14919509279.0,-11426803088.0,-36207857131.0,-113508936755.0,-425169985629.0
Biến động khác,17.2 Chi phí trả trước dài hạn > Biến động khác,Biến động khác,2.130.056,(8.019.693.933),-,-,(457.520.350),2.613.334,(8.472.470.893),2130056.0,-8019693933.0,,,-457520350.0,2613334.0,-8472470893.0
Số dư cuối năm,17.2 Chi phí trả trước dài hạn > Số dư cuối năm,Số dư cuối năm,166.355.835.146,867.387.279.680,1.646.342.339.253,322.302.941.827,53.708.395.069,115.285.397.231,3.171.382.188.206,166355835146.0,867387279680.0,1646342339253.0,322302941827.0,53708395069.0,115285397231.0,3171382188206.0
