row_label_raw,row_label_full,col_0,Quả hạn,Quả hạn_1,Quả hạn_2,Quả hạn_3,Quả hạn_4,numeric__Quả hạn,numeric__Quả hạn_1,numeric__Quả hạn_2,numeric__Quả hạn_3,numeric__Quả hạn_4
,,,Dưới 90 ngàyTriệu đồng,Từ 91 đến 180 ngàyTriệu đồng,Từ 181 đến 360 ngàyTriệu đồng,Trên 360 ngàyTriệu đồng,Tổng côngTriệu đồng,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,261,181,1.015,-,1.457,261.0,181.0,1015.0,,1457.0
