row_label_raw,row_label_full,Số đầu năm(Hoàn nhập)/trích lập dự phòng tài sản cỏ rủiro tín dụng,Năm nayTriệu đồng > 204.925(58),Năm trướcTriệu đồng > 189.46435,numeric__Năm nayTriệu đồng > 204.925(58),numeric__Năm trướcTriệu đồng > 189.46435
Trích lập dự phòng tài sản khác,Trích lập dự phòng tài sản khác,Trích lập dự phòng tài sản khác,216.765,15.426,216765.0,15426.0
Số cuối năm,Số cuối năm,Số cuối năm,421.632,204.925,421632.0,204925.0
