row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvân tàiTriệu đồng,Thiết bị dụng cụquản lýTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvân tàiTriệu đồng,numeric__Thiết bị dụng cụquản lýTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,490.578,636.510,164.196,31.748,11.228,1.334.260,490578.0,636510.0,164196.0,31748.0,11228.0,1334260.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,22.787,17.678,808,1.634,431,43.338,22787.0,17678.0,808.0,1634.0,431.0,43338.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(80),(21.280),(2.668),(387),(837),(25.252),-80.0,-21280.0,-2668.0,-387.0,-837.0,-25252.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,513.285,632.908,162.336,32.995,10.822,1.352.346,513285.0,632908.0,162336.0,32995.0,10822.0,1352346.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,136.603,448.990,128.319,27.190,7.791,748.893,136603.0,448990.0,128319.0,27190.0,7791.0,748893.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.392,43.447,8.856,2.956,1.453,67.104,10392.0,43447.0,8856.0,2956.0,1453.0,67104.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(67),(21.280),(2.668),(387),(821),(25.223),-67.0,-21280.0,-2668.0,-387.0,-821.0,-25223.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,146.928,471.157,134.507,29.759,8.423,790.774,146928.0,471157.0,134507.0,29759.0,8423.0,790774.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,353.975,187.520,35.877,4.558,3.437,585.367,353975.0,187520.0,35877.0,4558.0,3437.0,585367.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,366.357,161.751,27.829,3.236,2.399,561.572,366357.0,161751.0,27829.0,3236.0,2399.0,561572.0
