row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,673.408,849.253,673408.0,849253.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,528.443,307.513,528443.0,307513.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,1.148,1.176,1148.0,1176.0
Thu từ nghiệp vụ uỷ thác và đại lý,Thu từ nghiệp vụ uỷ thác và đại lý,Thu từ nghiệp vụ uỷ thác và đại lý,34,70,34.0,70.0
Dịch vụ tư vấn,Dịch vụ tư vấn,Dịch vụ tư vấn,-,27.859,,27859.0
Thu khác,Thu khác,Thu khác,143.783,512.635,143783.0,512635.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(377.785),(320.789),-377785.0,-320789.0
Chi dịch vụ thanh toán,Chi dịch vụ thanh toán,Chi dịch vụ thanh toán,(298.701),(234.326),-298701.0,-234326.0
"Cước phí bưu điện, mạng viễn thông","Cước phí bưu điện, mạng viễn thông","Cước phí bưu điện, mạng viễn thông",(40.227),(38.596),-40227.0,-38596.0
Chi dịch vụ ngân quỹ,Chi dịch vụ ngân quỹ,Chi dịch vụ ngân quỹ,(18.504),(18.741),-18504.0,-18741.0
Nghiệp vụ ủy thác và đại lý,Nghiệp vụ ủy thác và đại lý,Nghiệp vụ ủy thác và đại lý,(9.722),(15.655),-9722.0,-15655.0
Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,(6.627),(4.884),-6627.0,-4884.0
Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,(900),(3.436),-900.0,-3436.0
Chi khác,Chi khác,Chi khác,(3.104),(5.151),-3104.0,-5151.0
,,,295.623,528.464,295623.0,528464.0
