row_label_raw,row_label_full,Thời gian quả hạn,Mức trích dự phòng,numeric__Mức trích dự phòng
Từ sâu (6) tháng đến dưới một (1) năm,Từ sâu (6) tháng đến dưới một (1) năm,Từ sâu (6) tháng đến dưới một (1) năm,30%,0.3
Từ một (1) năm đến dưới hai (2) năm,Từ một (1) năm đến dưới hai (2) năm,Từ một (1) năm đến dưới hai (2) năm,50%,0.5
Từ hai (2) năm đến dưới ba (3) năm,Từ hai (2) năm đến dưới ba (3) năm,Từ hai (2) năm đến dưới ba (3) năm,70%,0.7
Từ ba (3) năm trở lên,Từ ba (3) năm trở lên,Từ ba (3) năm trở lên,100%,1.0
