row_label_raw,row_label_full,col_0,Số cuối năm %/năm,Số đầu năm %/năm,numeric__Số cuối năm %/năm,numeric__Số đầu năm %/năm
Bảng VND,Bảng VND,Bảng VND,"4,72 - 6,50","2,50 - 6,22",,
Bảng ngoại tệ,Bảng VND > Bảng ngoại tệ,Bảng ngoại tệ,"3,90","4,50 - 6,14",3.9,
