row_label_raw,row_label_full,col_0,Số cuối năm%/năm,Số đầu năm%/năm,numeric__Số cuối năm%/năm,numeric__Số đầu năm%/năm
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"6,50 - 10,00","2,50 - 5,55",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"4,00 - 4,10","4,50 - 5,05",,
