row_label_raw,row_label_full,col_0,Khu vực miền Bắc > Năm nay/Cuối năm,Khu vực miền Bắc > Năm trước/ Đầu năm,Khu vực miền Trung > Năm nay/Cuối năm,Khu vực miền Trung > Năm trước/ Đầu năm,Khu vực miền Nam > Năm nay/Cuối năm,Khu vực miền Nam > Năm trước/ Đầu năm,Điều chỉnh > Năm nay/Cuối năm,Điều chỉnh > Năm trước/ Đầu năm,Tổng cộng > Năm nay/Cuối năm,Tổng cộng > Năm trước/ Đầu năm,numeric__Khu vực miền Bắc > Năm nay/Cuối năm,numeric__Khu vực miền Bắc > Năm trước/ Đầu năm,numeric__Khu vực miền Trung > Năm nay/Cuối năm,numeric__Khu vực miền Trung > Năm trước/ Đầu năm,numeric__Khu vực miền Nam > Năm nay/Cuối năm,numeric__Khu vực miền Nam > Năm trước/ Đầu năm,numeric__Điều chỉnh > Năm nay/Cuối năm,numeric__Điều chỉnh > Năm trước/ Đầu năm,numeric__Tổng cộng > Năm nay/Cuối năm,numeric__Tổng cộng > Năm trước/ Đầu năm
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,22.337.146,16.854.952,2.567.338,2.273.811,5.524.818,5.156.442,(24.443.199),(17.893.278),5.986.103,6.391.927,22337146.0,16854952.0,2567338.0,2273811.0,5524818.0,5156442.0,-24443199.0,-17893278.0,5986103.0,6391927.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,22.004.897,16.469.915,2.561.620,2.190.470,5.356.514,5.021.249,(24.443.199),(17.893.278),5.479.832,5.788.356,22004897.0,16469915.0,2561620.0,2190470.0,5356514.0,5021249.0,-24443199.0,-17893278.0,5479832.0,5788356.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,32.721,23.469,3.798,3.225,36.241,23.741,-,-,72.760,50.435,32721.0,23469.0,3798.0,3225.0,36241.0,23741.0,,,72760.0,50435.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,299.528,361.568,1.920,80.116,132.063,111.452,-,-,433.511,553.136,299528.0,361568.0,1920.0,80116.0,132063.0,111452.0,,,433511.0,553136.0
II. Chi phí lãi,II. Chi phí lãi,II. Chi phí lãi,(21.854.865),(16.416.801),(2.244.455),(2.056.708),(5.019.114),(4.646.650),24.443.199,17.893.278,(4.675.235),(5.226.881),-21854865.0,-16416801.0,-2244455.0,-2056708.0,-5019114.0,-4646650.0,24443199.0,17893278.0,-4675235.0,-5226881.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(21.427.843),(15.986.176),(2.138.432),(1.964.538),(4.805.445),(4.420.140),24.443.199,17.893.278,(3.928.521),(4.477.576),-21427843.0,-15986176.0,-2138432.0,-1964538.0,-4805445.0,-4420140.0,24443199.0,17893278.0,-3928521.0,-4477576.0
2. Chi phí khấu hao TSCD,2. Chi phí khấu hao TSCD,2. Chi phí khấu hao TSCD,(20.959),(17.977),(2.426),(2.182),(1.897),(1.277),-,-,(25.282),(21.436),-20959.0,-17977.0,-2426.0,-2182.0,-1897.0,-1277.0,,,-25282.0,-21436.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(406.063),(412.648),(103.597),(89.988),(211.772),(225.233),-,-,(721.432),(727.869),-406063.0,-412648.0,-103597.0,-89988.0,-211772.0,-225233.0,,,-721432.0,-727869.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,482.281,438.151,322.883,217.103,505.704,509.792,-,-,1.310.868,1.165.046,482281.0,438151.0,322883.0,217103.0,505704.0,509792.0,,,1310868.0,1165046.0
(Chi phí)/Hoàn nhập dự phòng rủi,(Chi phí)/Hoàn nhập dự phòng rủi,(Chi phí)/Hoàn nhập dự phòng rủi,(176.515),(705.343),(71.733),(17.204),(222.909),(35.024),-,-,(471.157),(757.571),-176515.0,-705343.0,-71733.0,-17204.0,-222909.0,-35024.0,,,-471157.0,-757571.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,305.766,(267.192),251.150,199.899,282.795,474.768,-,-,839.711,407.475,305766.0,-267192.0,251150.0,199899.0,282795.0,474768.0,,,839711.0,407475.0
