row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,Năm 2021 > VND,Năm 2020 > VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm 2021 > VND,numeric__Năm 2020 > VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,19,5.479.827.988.085,5.788.355.560.383,,19.0,5479827988085.0,5788355560383.0
2,2,2,Chi phí lãi và các chi phí tương tự,20,(3.928.520.601.440),(4.477.575.756.332),,20.0,-3928520601440.0,-4477575756332.0
I,I,I,Thu nhập lãi thuần,,1.551.307.386.645,1.310.779.804.051,,,1551307386645.0,1310779804051.0
3,3,3,Thu nhập từ hoạt động dịch vụ,,72.759.885.798,50.434.749.704,,,72759885798.0,50434749704.0
4,4,4,Chi phí hoạt động dịch vụ,,(31.944.976.214),(33.934.070.409),,,-31944976214.0,-33934070409.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,21,40.814.909.584,16.500.679.295,,21.0,40814909584.0,16500679295.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,22,10.215.341.395,33.984.368.124,,22.0,10215341395.0,33984368124.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,23,63.737.986.528,1.277.542.843,,23.0,63737986528.0,1277542843.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,24,55.210.344.525,16.093.101.809,,24.0,55210344525.0,16093101809.0
5,5,5,Thu nhập từ hoạt động khác,,256.068.747.085,402.700.018.609,,,256068747085.0,402700018609.0
6,6,6,Chi phí hoạt động khác,,(6.148.605.475),(47.429.682.136),,,-6148605475.0,-47429682136.0
VI,VI,VI,Lãi thuần từ hoạt động khác,25,249.920.141.610,355.270.336.473,,25.0,249920141610.0,355270336473.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",26,2.649.145.026,47.822.955.000,,26.0,2649145026.0,47822955000.0
VIII,VIII,VIII,Chi phí hoạt động,27,(661.502.856.039),(616.682.423.678),,27.0,-661502856039.0,-616682423678.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,1.312.352.399.274,1.165.046.363.917,,,1312352399274.0,1165046363917.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,28,(472.641.071.655),(757.570.969.567),,28.0,-472641071655.0,-757570969567.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,839.711.327.619,407.475.394.350,,,839711327619.0,407475394350.0
7,7,7,Chi phí thuế TNDN hiện hành,,(177.821.703.537),(75.459.391.590),,,-177821703537.0,-75459391590.0
8,8,8,Chi phí thuế TNDN hoãn lại,,(8.000.000.000),-,,,-8000000000.0,
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,29,(185.821.703.537),(75.459.391.590),,29.0,-185821703537.0,-75459391590.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,653.889.624.082,332.016.002.760,,,653889624082.0,332016002760.0
XVI,XVI,XVI,Lãi cơ bản trên cổ phiếu (VND),18.2,1.470,834,,182.0,1470.0,834.0
