row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Triệu VND,Không chịu lãi > Triệu VND,Dưới 01 tháng > Triệu VND,Từ 01 đến 03 tháng > Triệu VND,Từ trên 03 đến 06 tháng > Triệu VND,Từ trên 06 đến 12 tháng > Triệu VND,Từ trên 01 đến 05 năm > Triệu VND,Trên 05 năm > Triệu VND,Tổng > Triệu VND,numeric__Quá hạn > Triệu VND,numeric__Không chịu lãi > Triệu VND,numeric__Dưới 01 tháng > Triệu VND,numeric__Từ 01 đến 03 tháng > Triệu VND,numeric__Từ trên 03 đến 06 tháng > Triệu VND,numeric__Từ trên 06 đến 12 tháng > Triệu VND,numeric__Từ trên 01 đến 05 năm > Triệu VND,numeric__Trên 05 năm > Triệu VND,numeric__Tổng > Triệu VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,
II Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > II Tiền gửi và vay các TCTD khác,II Tiền gửi và vay các TCTD khác,-,-,21.173.413,1.537.973,484.580,-,1.144,-,23.197.110,,,21173413.0,1537973.0,484580.0,,1144.0,,23197110.0
III Tiền gửi của khách hàng,NỘ PHẢI TRẢ > III Tiền gửi của khách hàng,III Tiền gửi của khách hàng,-,-,18.892.121,10.357.826,18.619.726,15.984.682,3.836.514,130,67.690.999,,,18892121.0,10357826.0,18619726.0,15984682.0,3836514.0,130.0,67690999.0
VI Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > VI Phát hành giấy tờ có giá,VI Phát hành giấy tờ có giá,-,-,27,320.000,22.000,1.540.000,-,-,1.882.027,,,27.0,320000.0,22000.0,1540000.0,,,1882027.0
VII Các khoản nợ khác,NỘ PHẢI TRẢ > VII Các khoản nợ khác,VII Các khoản nợ khác,-,1.885.315,-,-,-,-,-,-,1.885.315,,1885315.0,,,,,,,1885315.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,-,1.885.315,40.065.561,12.215.799,19.126.306,17.524.682,3.837.658,130,94.655.451,,1885315.0,40065561.0,12215799.0,19126306.0,17524682.0,3837658.0,130.0,94655451.0
Mức chênh nhạy cảm với lãi suất nội bảng,NỘ PHẢI TRẢ > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,1.826.518,11.766.290,(2.888.557),19.561.935,(12.120.100),(13.805.743),(2.892.664),5.876.303,7.323.982,1826518.0,11766290.0,-2888557.0,19561935.0,-12120100.0,-13805743.0,-2892664.0,5876303.0,7323982.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",1.826.518,11.766.290,(2.888.557),19.561.935,(12.120.100),(13.805.743),(2.892.664),5.876.303,7.323.982,1826518.0,11766290.0,-2888557.0,19561935.0,-12120100.0,-13805743.0,-2892664.0,5876303.0,7323982.0
