row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa,vật kiến trúc > VND","Máy móc,thiết bị > VND",Phương tiệnvận tải > VND,Tài sàncố định khác > VND,Cộng > VND,"numeric__Nhà cửa,vật kiến trúc > VND","numeric__Máy móc,thiết bị > VND",numeric__Phương tiệnvận tải > VND,numeric__Tài sàncố định khác > VND,numeric__Cộng > VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,86.074.422.874,123.133.427.347,74.931.128.365,11.026.501.958,295.165.480.544,86074422874.0,123133427347.0,74931128365.0,11026501958.0,295165480544.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,12.042.735.000,12.160.370.747,1.272.500.000,303.800.000,25.779.405.747,12042735000.0,12160370747.0,1272500000.0,303800000.0,25779405747.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(16.294.444.854),(94.300.000),(449.596.000),(16.838.340.854),,-16294444854.0,-94300000.0,-449596000.0,-16838340854.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(1.012.258.469),-,-,-,(1.012.258.469),-1012258469.0,,,,-1012258469.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,97.104.899.405,118.999.353.240,76.109.328.365,10.880.705.958,303.094.286.968,97104899405.0,118999353240.0,76109328365.0,10880705958.0,303094286968.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,40.035.091.593,116.707.315.293,62.417.037.366,3.232.540.080,222.391.984.332,40035091593.0,116707315293.0,62417037366.0,3232540080.0,222391984332.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,3.885.040.236,4.930.100.001,4.525.211.205,2.133.154.550,15.473.505.992,3885040236.0,4930100001.0,4525211205.0,2133154550.0,15473505992.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(16.294.444.854),(94.300.000),(449.596.000),(16.838.340.854),,-16294444854.0,-94300000.0,-449596000.0,-16838340854.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,43.920.131.829,105.342.970.440,66.847.948.571,4.916.098.630,221.027.149.470,43920131829.0,105342970440.0,66847948571.0,4916098630.0,221027149470.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,46.039.331.281,6.426.112.054,12.514.090.999,7.793.961.878,72.773.496.212,46039331281.0,6426112054.0,12514090999.0,7793961878.0,72773496212.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,53.184.767.576,13.656.382.800,9.261.379.794,5.964.607.328,82.067.137.498,53184767576.0,13656382800.0,9261379794.0,5964607328.0,82067137498.0
