row_label_raw,row_label_full,col_0,EURđược quyđổi,USDđược quyđổi,Các ngoại hốikhác được quyđổi và đồngViệt Nam,Tổng,numeric__EURđược quyđổi,numeric__USDđược quyđổi,numeric__Các ngoại hốikhác được quyđổi và đồngViệt Nam,numeric__Tổng
,,,VND,VND,VND,VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
"I. Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",233,119.350,279.059,398.642,233.0,119350.0,279059.0,398642.0
II. Tiền gửi tại NHNN,TÀI SẢN > II. Tiền gửi tại NHNN,II. Tiền gửi tại NHNN,-,6.257,2.335.045,2.341.302,,6257.0,2335045.0,2341302.0
III. Tiền gửi và cho vay các TCTD khác (*),TÀI SẢN > III. Tiền gửi và cho vay các TCTD khác (*),III. Tiền gửi và cho vay các TCTD khác (*),6.055,336.041,22.512.937,22.855.033,6055.0,336041.0,22512937.0,22855033.0
V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,4.004,4.004,,,4004.0,4004.0
VI. Cho vay khách hàng (*),TÀI SẢN > VI. Cho vay khách hàng (*),VI. Cho vay khách hàng (*),-,22.959,54.435.773,54.458.732,,22959.0,54435773.0,54458732.0
VIII. Chứng khoán đầu tư (*),TÀI SẢN > VIII. Chứng khoán đầu tư (*),VIII. Chứng khoán đầu tư (*),-,-,8.787.274,8.787.274,,,8787274.0,8787274.0
"IX. Góp vốn, đầu tư dài hạn (*)","TÀI SẢN > IX. Góp vốn, đầu tư dài hạn (*)","IX. Góp vốn, đầu tư dài hạn (*)",-,-,113.874,113.874,,,113874.0,113874.0
X. Tài sản cố định,TÀI SẢN > X. Tài sản cố định,X. Tài sản cố định,-,-,212.453,212.453,,,212453.0,212453.0
XI. Tài sản có khác (*),TÀI SẢN > XI. Tài sản có khác (*),XI. Tài sản có khác (*),-,192.273,12.615.846,12.808.119,,192273.0,12615846.0,12808119.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,6.288,676.880,101.296.265,101.979.433,6288.0,676880.0,101296265.0,101979433.0
NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,
II. Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > II. Tiền gửi và vay các TCTD khác,II. Tiền gửi và vay các TCTD khác,-,175.825,23.021.285,23.197.110,,175825.0,23021285.0,23197110.0
III. Tiền gửi của khách hàng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > III. Tiền gửi của khách hàng,III. Tiền gửi của khách hàng,722,352.930,67.337.347,67.690.999,722.0,352930.0,67337347.0,67690999.0
VI. Phát hành giấy tờ có giá,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VI. Phát hành giấy tờ có giá,VI. Phát hành giấy tờ có giá,-,-,1.882.027,1.882.027,,,1882027.0,1882027.0
VII. Các khoản nợ khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VII. Các khoản nợ khác,VII. Các khoản nợ khác,-,516,1.884.799,1.885.315,,516.0,1884799.0,1885315.0
VIII. Vốn và các quỹ,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VIII. Vốn và các quỹ,VIII. Vốn và các quỹ,-,-,6.377.817,6.377.817,,,6377817.0,6377817.0
Tổng nợ phải trả và vốn chủ sở hữu,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,722,529.271,100.503.275,101.033.268,722.0,529271.0,100503275.0,101033268.0
Trạng thái tiền tệ nội bằng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,5.566,147.609,792.990,946.165,5566.0,147609.0,792990.0,946165.0
Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,-,-,-,-,,,,
Trạng thái tiền tệ nội ngoại bằng,Trạng thái tiền tệ ngoại bằng > Trạng thái tiền tệ nội ngoại bằng,Trạng thái tiền tệ nội ngoại bằng,5.566,147.609,792.990,946.165,5566.0,147609.0,792990.0,946165.0
