row_label_raw,row_label_full,Chỉ tiêu,Số dư đầu năm,Số phát sinh trong năm > Số phải nộpVND,Số phát sinh trong năm > Số đã nộpVND,Số dư cuối năm,numeric__Số dư đầu năm,numeric__Số phát sinh trong năm > Số phải nộpVND,numeric__Số phát sinh trong năm > Số đã nộpVND,numeric__Số dư cuối năm
1. Thuế GTGT phải nộp,1. Thuế GTGT phải nộp,1. Thuế GTGT phải nộp,(11.329.784.360),11.372.297.231,(4.930.613.646),(4.888.100.775),-11329784360.0,11372297231.0,-4930613646.0,-4888100775.0
2. Thuế TNDN,2. Thuế TNDN,2. Thuế TNDN,38.490.294.571,177.821.703.537,(165.065.711.232),51.246.286.876,38490294571.0,177821703537.0,-165065711232.0,51246286876.0
3. Thuế TNCN,3. Thuế TNCN,3. Thuế TNCN,914.537.115,9.892.470.858,(10.153.642.481),653.365.492,914537115.0,9892470858.0,-10153642481.0,653365492.0
4. Thuế môn bài,4. Thuế môn bài,4. Thuế môn bài,-,100.000.000,(100.000.000),-,,100000000.0,-100000000.0,
5. Thuế nhà thầu,5. Thuế nhà thầu,5. Thuế nhà thầu,2.561.487,469.103.586,(453.686.177),17.978.896,2561487.0,469103586.0,-453686177.0,17978896.0
,,,28.077.608.813,199.655.575.212,(180.703.653.536),47.029.530.489,28077608813.0,199655575212.0,-180703653536.0,47029530489.0
