row_label_raw,row_label_full,STT,Họ và tên,Chức danh,Năm 2021,Năm 2020,numeric__Họ và tên,numeric__Chức danh,numeric__Năm 2021,numeric__Năm 2020
STT,STT,STT,Họ và tên,Chức danh,VND,VND,,,,
Thù lao thành viên Hội đồng quản trị,Thù lao thành viên Hội đồng quản trị,Thù lao thành viên Hội đồng quản trị,Thù lao thành viên Hội đồng quản trị,Thù lao thành viên Hội đồng quản trị,Thù lao thành viên Hội đồng quản trị,Thù lao thành viên Hội đồng quản trị,,,,
1,Thù lao thành viên Hội đồng quản trị > 1,1,Ông Phương Hữu Việt(Miễn nhiệm chủ tịch từ ngày 08/09/2021),Chủ tịch/Thành viên,1.051.408.164,1.172.500.000,,,1051408164.0,1172500000.0
2,Thù lao thành viên Hội đồng quản trị > 2,2,Ông Phương Thành Long(Bố nhiệm từ ngày 08/09/2021),Chủ tịch,871.693.877,-,,,871693877.0,
2,Thù lao thành viên Hội đồng quản trị > 2,2,Ông Phan Văn Tới,Phó Chủ tịch,811.000.000,798.000.000,,,811000000.0,798000000.0
3,Thù lao thành viên Hội đồng quản trị > 3,3,Ông Nguyễn Hồng Hải,Thành viên,1.308.250.000,652.500.000,,,1308250000.0,652500000.0
4,Thù lao thành viên Hội đồng quản trị > 4,4,Bà Phương Minh Huệ(Miễn nhiệm từ ngày 24/04/2021),Thành viên,162.900.000,-,,,162900000.0,
,,,,,4.205.252.041,2.623.000.000,,,4205252041.0,2623000000.0
Thù lao thành viên Ban kiểm soát,Thù lao thành viên Ban kiểm soát,Thù lao thành viên Ban kiểm soát,Thù lao thành viên Ban kiểm soát,Thù lao thành viên Ban kiểm soát,Thù lao thành viên Ban kiểm soát,Thù lao thành viên Ban kiểm soát,,,,
1,Thù lao thành viên Ban kiểm soát > 1,1,Bà Nguyễn Kim Phượng,Trường Ban Kiểm soát,950.374.000,881.773.900,,,950374000.0,881773900.0
2,Thù lao thành viên Ban kiểm soát > 2,2,Bà Nguyễn Thị Hoan,Thành viên,136.000.000,133.000.000,,,136000000.0,133000000.0
3,Thù lao thành viên Ban kiểm soát > 3,3,Ông Hoàng Vũ Tùng,Thành viên,743.500.000,731.500.000,,,743500000.0,731500000.0
,,,,,1.829.874.000,1.746.273.900,,,1829874000.0,1746273900.0
Tiền lương của Tổng Giám đốc và người quản lý khác,Tiền lương của Tổng Giám đốc và người quản lý khác,Tiền lương của Tổng Giám đốc và người quản lý khác,Tiền lương của Tổng Giám đốc và người quản lý khác,Tiền lương của Tổng Giám đốc và người quản lý khác,Tiền lương của Tổng Giám đốc và người quản lý khác,Tiền lương của Tổng Giám đốc và người quản lý khác,,,,
1,Tiền lương của Tổng Giám đốc và người quản lý khác > 1,1,Ông Nguyễn Văn Trọng,Quyền Tổng Giám đốc,2.276.441.484,1.385.981.835,,,2276441484.0,1385981835.0
2,Tiền lương của Tổng Giám đốc và người quản lý khác > 2,2,Ông Phạm Linh,Phó Tổng Giám đốc,2.105.386.770,2.064.804.770,,,2105386770.0,2064804770.0
3,Tiền lương của Tổng Giám đốc và người quản lý khác > 3,3,Ông Trần Tiến Dũng,Phó Tổng Giám đốc,1.415.052.978,1.380.030.060,,,1415052978.0,1380030060.0
4,Tiền lương của Tổng Giám đốc và người quản lý khác > 4,4,Ông Lê Minh Huấn,Phó Tổng Giám đốc,1.943.106.100,1.720.897.100,,,1943106100.0,1720897100.0
5,Tiền lương của Tổng Giám đốc và người quản lý khác > 5,5,Ông Cù Anh Tuấn,Phó Tổng Giám đốc,2.429.169.370,1.352.903.000,,,2429169370.0,1352903000.0
6,Tiền lương của Tổng Giám đốc và người quản lý khác > 6,6,Ông Phương Thành Long(Miễn nhiệm từ ngày 08/09/2021),Phó Tổng Giám đốc,582.110.951,-,,,582110951.0,
,,,,,10.751.267.653,7.904.616.765,,,10751267653.0,7904616765.0
