row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2021 > VND,31/12/2020 > VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2021 > VND,numeric__31/12/2020 > VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,398.641.826.345,295.746.112.695,,3.0,398641826345.0,295746112695.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,4,2.341.302.448.289,2.200.651.682.348,,4.0,2341302448289.0,2200651682348.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,5,22.855.032.502.539,15.223.083.833.362,,5.0,22855032502539.0,15223083833362.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,22.730.032.502.539,15.223.083.833.362,,,22730032502539.0,15223083833362.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,125.000.000.000,-,,,125000000000.0,
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,6,4.004.260.508,5.554.449.516,,6.0,4004260508.0,5554449516.0
VI,A > VI,VI,Cho vay khách hàng,,53.853.929.621.847,47.808.005.549.421,,,53853929621847.0,47808005549421.0
1,A > 1,1,Cho vay khách hàng,7,54.458.731.509.641,48.378.542.968.777,,7.0,54458731509641.0,48378542968777.0
3,A > 3,3,Dự phòng rủi ro cho vay khách hàng,8,(604.801.887.794),(570.537.419.356),,8.0,-604801887794.0,-570537419356.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,9,8.772.591.023.100,12.399.950.665.898,,9.0,8772591023100.0,12399950665898.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,6.825.684.983.579,11.216.122.161.812,,,6825684983579.0,11216122161812.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,1.961.588.983.059,1.199.999.287.624,,,1961588983059.0,1199999287624.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(14.682.943.538),(16.170.783.538),,,-14682943538.0,-16170783538.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",10,113.873.630.000,113.873.630.000,,10.0,113873630000.0,113873630000.0
4,A > 4,4,Đầu tư dài hạn khác,,113.873.630.000,113.873.630.000,,,113873630000.0,113873630000.0
X,A > X,X,Tài sản cố định,,212.453.371.543,207.724.906.906,,,212453371543.0,207724906906.0
1.,A > 1.,1.,Tài sản cố định hữu hình,11,82.067.137.498,72.773.496.212,,11.0,82067137498.0,72773496212.0
a,A > a,a,Nguyên giá TSCĐ,,303.094.286.968,295.165.480.544,,,303094286968.0,295165480544.0
b,A > b,b,Hao mòn TSCĐ,,(221.027.149.470),(222.391.984.332),,,-221027149470.0,-222391984332.0
3.,A > 3.,3.,Tài sản cố định vô hình,12,130.386.234.045,134.951.410.694,,12.0,130386234045.0,134951410694.0
a,A > a,a,Nguyên giá TSCĐ,,240.130.987.753,234.887.713.253,,,240130987753.0,234887713253.0
b,A > b,b,Hao mòn TSCĐ,,(109.744.753.708),(99.936.302.559),,,-109744753708.0,-99936302559.0
XII,A > XII,XII,Tài sản Có khác,13,12.481.440.089.519,8.274.759.023.315,,13.0,12481440089519.0,8274759023315.0
1,A > 1,1,Các khoản phải thu,,7.489.128.613.194,3.063.802.580.285,,,7489128613194.0,3063802580285.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,3.539.253.333.560,3.453.802.454.335,,,3539253333560.0,3453802454335.0
4,A > 4,4,Tài sản Có khác,,1.779.737.197.726,1.806.636.861.715,,,1779737197726.0,1806636861715.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(326.679.054.961),(49.482.873.020),,,-326679054961.0,-49482873020.0
,,,TỔNG TÀI SẢN CÓ,,101.033.268.773.690,86.529.349.853.461,,,101033268773690.0,86529349853461.0
