row_label_raw,row_label_full,Ông Phương Thành Long > Ông Phương Hữu Việt,Chủ tịch > Thành viên,"(Thành viên HĐQT, bổ nhiệm Chủ tịch HĐQT ngày 08 tháng 09 năm 2021) > (Miễn nhiệm Chủ tịch HĐQT ngày 08 tháng 09 năm 2021)",numeric__Chủ tịch > Thành viên,"numeric__(Thành viên HĐQT, bổ nhiệm Chủ tịch HĐQT ngày 08 tháng 09 năm 2021) > (Miễn nhiệm Chủ tịch HĐQT ngày 08 tháng 09 năm 2021)"
Ông Phan Văn Tới,Ông Phan Văn Tới,Ông Phan Văn Tới,Phó Chủ tịch,,,
Ông Phương Hữu Việt,Ông Phương Hữu Việt,Ông Phương Hữu Việt,Thành viên,,,
Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Thành viên,,,
Bà Phương Minh Huệ,Bà Phương Minh Huệ,Bà Phương Minh Huệ,Thành viên,(Miễn nhiệm ngày 24 tháng 04 năm 2021),,
Ông Nguyễn Hồng Hải,Ông Nguyễn Hồng Hải,Ông Nguyễn Hồng Hải,Thành viên,,,
Ông Nguyễn Văn Trọng,Ông Nguyễn Văn Trọng,Ông Nguyễn Văn Trọng,Thành viên,(Bổ nhiệm ngày 24 tháng 04 năm 2021),,
