row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,112.001.521.341,113.052.996.649,9.833.195.263,234.887.713.253,112001521341.0,113052996649.0,9833195263.0,234887713253.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,-,1.441.634.500,3.801.640.000,5.243.274.500,,1441634500.0,3801640000.0,5243274500.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,112.001.521.341,114.494.631.149,13.634.835.263,240.130.987.753,112001521341.0,114494631149.0,13634835263.0,240130987753.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,95.456.796.345,4.479.506.214,99.936.302.559,,95456796345.0,4479506214.0,99936302559.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,4.661.655.158,5.146.795.991,9.808.451.149,,4661655158.0,5146795991.0,9808451149.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,-,100.118.451.503,9.626.302.205,109.744.753.708,,100118451503.0,9626302205.0,109744753708.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,112.001.521.341,17.596.200.304,5.353.689.049,134.951.410.694,112001521341.0,17596200304.0,5353689049.0,134951410694.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,112.001.521.341,14.376.179.646,4.008.533.058,130.386.234.045,112001521341.0,14376179646.0,4008533058.0,130386234045.0
