row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2021 > VND,31/12/2020 > VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2021 > VND,numeric__31/12/2020 > VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,14,23.197.110.232.269,18.166.993.738.362,,14.0,23197110232269.0,18166993738362.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,21.919.258.728.574,13.601.194.237.235,,,21919258728574.0,13601194237235.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,1.277.851.503.695,4.565.799.501.127,,,1277851503695.0,4565799501127.0
III,B > III,III,Tiền gửi của khách hàng,15,67.690.998.877.873,59.271.859.700.279,,15.0,67690998877873.0,59271859700279.0
VI,B > VI,VI,Phát hành giấy tờ có giá,16,1.882.027.000.000,1.357.635.398.735,,16.0,1882027000000.0,1357635398735.0
VII,B > VII,VII,Các khoản nợ khác,,1.885.315.383.494,2.008.933.360.113,,,1885315383494.0,2008933360113.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,1.379.912.056.741,1.602.620.402.642,,,1379912056741.0,1602620402642.0
2,B > 2,2,Thuế thu nhập doanh nghiệp hoãn lại phải trả,,8.000.000.000,-,,,8000000000.0,
3,B > 3,3,Các khoản phải trả và công nợ khác,17,497.403.326.753,406.312.957.471,,17.0,497403326753.0,406312957471.0
,,,TỔNG NỘ PHẢI TRẢ,,94.655.451.493.636,80.805.422.197.489,,,94655451493636.0,80805422197489.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,18,6.377.817.280.054,5.723.927.655.972,,18.0,6377817280054.0,5723927655972.0
1,B > 1,1,Vốn của tổ chức tín dụng,,4.449.747.740.351,4.449.747.740.351,,,4449747740351.0,4449747740351.0
a,B > a,a,Vốn điều lệ,,4.449.635.670.000,4.449.635.670.000,,,4449635670000.0,4449635670000.0
c,B > c,c,Thặng dư vốn cổ phần,,98.600.000,98.600.000,,,98600000.0,98600000.0
g,B > g,g,Vốn khác,,13.470.351,13.470.351,,,13470351.0,13470351.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,276.854.471.680,276.854.471.680,,,276854471680.0,276854471680.0
5,B > 5,5,Lợi nhuận chưa phân phối,,1.651.215.068.023,997.325.443.941,,,1651215068023.0,997325443941.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,101.033.268.773.690,86.529.349.853.461,,,101033268773690.0,86529349853461.0
