row_label_raw,row_label_full,Bà Hoàng Thị Thu Hiền,Trường ban,numeric__Trường ban
Bà Lưu Ngọc Trâm,Bà Lưu Ngọc Trâm,Bà Lưu Ngọc Trâm,Thành viên,
Ông Nguyễn Quốc Văn,Ông Nguyễn Quốc Văn,Ông Nguyễn Quốc Văn,Thành viên,
