row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chi phí phải trả ngắn hạn,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,2.714.691.138,1.920.660.173,794.030.965,(1.250.798.347),2714691138.0,1920660173.0,794030965.0,-1250798347.0
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,5.196.834.826,4.464.223.160,732.611.666,2.860.753.023,5196834826.0,4464223160.0,732611666.0,2860753023.0
Lỗ thuế ghi nhận thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại > Lỗ thuế ghi nhận thuế thu nhập hoãn lại,Lỗ thuế ghi nhận thuế thu nhập hoãn lại,-,29.742.058.012,(29.742.058.012),29.742.058.012,,29742058012.0,-29742058012.0,29742058012.0
,,,7.911.525.964,36.126.941.345,(28.215.415.381),31.352.012.688,7911525964.0,36126941345.0,-28215415381.0,31352012688.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chi phí lãi vay vốn hóa,Thuế thu nhập hoãn lại phải trả > Chi phí lãi vay vốn hóa,Chi phí lãi vay vốn hóa,(6.344.552.871),(3.892.339.055),(2.452.213.816),(3.892.339.055),-6344552871.0,-3892339055.0,-2452213816.0,-3892339055.0
Dự phòng giảm giá của khoản đầu tư dài hạn,Thuế thu nhập hoãn lại phải trả > Dự phòng giảm giá của khoản đầu tư dài hạn,Dự phòng giảm giá của khoản đầu tư dài hạn,(1.803.637.391),(1.803.637.391),-,-,-1803637391.0,-1803637391.0,,
,,,(8.148.190.262),(5.695.976.446),(2.452.213.816),(3.892.339.055),-8148190262.0,-5695976446.0,-2452213816.0,-3892339055.0
Thuế thu nhập hoãn lại thuần,Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại thuần,Thuế thu nhập hoãn lại thuần,(236.664.298),30.430.964.899,,,-236664298.0,30430964899.0,,
(Chi phí) thu nhập thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại phải trả > (Chi phí) thu nhập thuế thu nhập hoãn lại,(Chi phí) thu nhập thuế thu nhập hoãn lại,(Chi phí) thu nhập thuế thu nhập hoãn lại,(Chi phí) thu nhập thuế thu nhập hoãn lại,(30.667.629.197),27.459.673.633,,,-30667629197.0,27459673633.0
