row_label_raw,row_label_full,col_0,Vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,1.435.200.000.000,-,298.655.201.455,1.733.855.201.455,1435200000000.0,,298655201455.0,1733855201455.0
Quyền chọn chuyển đổi trái phiếu,Năm trước: > Quyền chọn chuyển đổi trái phiếu,Quyền chọn chuyển đổi trái phiếu,-,137.648.613.977,-,137.648.613.977,,137648613977.0,,137648613977.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,26.375.283.530,26.375.283.530,,,26375283530.0,26375283530.0
Thay đổi tỷ lệ sở hữu trong công ty con,Năm trước: > Thay đổi tỷ lệ sở hữu trong công ty con,Thay đổi tỷ lệ sở hữu trong công ty con,-,-,(163.944.397),(163.944.397),,,-163944397.0,-163944397.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,1.435.200.000.000,137.648.613.977,324.866.540.588,1.897.715.154.565,1435200000000.0,137648613977.0,324866540588.0,1897715154565.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.435.200.000.000,137.648.613.977,324.866.540.588,1.897.715.154.565,1435200000000.0,137648613977.0,324866540588.0,1897715154565.0
Phát hành cổ phiếu cho cổ đông hiện hữu (i),Năm nay: > Phát hành cổ phiếu cho cổ đông hiện hữu (i),Phát hành cổ phiếu cho cổ đông hiện hữu (i),684.256.000.000,-,-,684.256.000.000,684256000000.0,,,684256000000.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,317.047.520.186,317.047.520.186,,,317047520186.0,317047520186.0
"Phát hành cổ phiếu cho cán bộ nhân viên trong Công ty (""ESOP"") (ii)","Năm nay: > Phát hành cổ phiếu cho cán bộ nhân viên trong Công ty (""ESOP"") (ii)","Phát hành cổ phiếu cho cán bộ nhân viên trong Công ty (""ESOP"") (ii)",26.780.000.000,-,-,26.780.000.000,26780000000.0,,,26780000000.0
Cổ tức công bố (ii),Năm nay: > Cổ tức công bố (ii),Cổ tức công bố (ii),243.980.420.000,-,(243.980.420.000),-,243980420000.0,,-243980420000.0,
Thay đổi tỷ lệ sở hữu trong công ty con,Năm nay: > Thay đổi tỷ lệ sở hữu trong công ty con,Thay đổi tỷ lệ sở hữu trong công ty con,-,-,324.848.563,324.848.563,,,324848563.0,324848563.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,2.390.216.420.000,137.648.613.977,398.258.489.337,2.926.123.523.314,2390216420000.0,137648613977.0,398258489337.0,2926123523314.0
