row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,180.849.310.000,11.966.176.000,192.815.486.000,180849310000.0,11966176000.0,192815486000.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,885.770.000,885.770.000,,885770000.0,885770000.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(180.849.310.000),-,(180.849.310.000),-180849310000.0,,-180849310000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,-,12.851.946.000,12.851.946.000,,12851946000.0,12851946000.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,730.250.000,730.250.000,,730250000.0,730250000.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(95.476.405),(5.499.463.864),(5.594.940.269),-95476405.0,-5499463864.0,-5594940269.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(23.099.135),(1.628.084.615),(1.651.183.750),-23099135.0,-1628084615.0,-1651183750.0
Thanh lý,Giá trị hao mòn lũy kế: > Thanh lý,Thanh lý,118.575.540,-,118.575.540,118575540.0,,118575540.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(7.127.548.479),(7.127.548.479),,-7127548479.0,-7127548479.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,180.753.833.595,6.466.712.136,187.220.545.731,180753833595.0,6466712136.0,187220545731.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,5.724.397.521,5.724.397.521,,5724397521.0,5724397521.0
