row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,VND,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__VND
,,,Tổng khoản thanh toán tiền thuê tối thiểu,Lãi thuê tài chính,Nợ gốc,,,
Nợ thuê tài chính ngắn hạn,Nợ thuê tài chính ngắn hạn,Nợ thuê tài chính ngắn hạn,,,,,,
Từ 1 năm trở xuống,Nợ thuê tài chính ngắn hạn > Từ 1 năm trở xuống,Từ 1 năm trở xuống,5.353.996.326,1.006.872.612,4.347.123.714,5353996326.0,1006872612.0,4347123714.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,,,,,,
Trên 1 – 5 năm,Nợ thuê tài chính dài hạn > Trên 1 – 5 năm,Trên 1 – 5 năm,14.326.589.355,1.485.507.072,12.841.082.283,14326589355.0,1485507072.0,12841082283.0
TỔNG CỘNG,Nợ thuê tài chính dài hạn > TỔNG CỘNG,TỔNG CỘNG,19.680.585.681,2.492.379.684,17.188.205.997,19680585681.0,2492379684.0,17188205997.0
