row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,24.697.495.919,23.690.333.542,24697495919.0,23690333542.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",10.857.358.203,7.164.255.076,10857358203.0,7164255076.0
Khác,Khác,Khác,13.840.137.716,16.526.078.466,13840137716.0,16526078466.0
Dài hạn,Dài hạn,Dài hạn,848.366.480.327,707.342.510.635,848366480327.0,707342510635.0
Gia súc,Gia súc,Gia súc,392.147.544.263,353.500.365.011,392147544263.0,353500365011.0
Thuê đất (*),Thuê đất (*),Thuê đất (*),370.151.750.132,305.427.676.597,370151750132.0,305427676597.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",46.739.058.184,20.521.760.879,46739058184.0,20521760879.0
Chi phí tư vấn,Chi phí tư vấn,Chi phí tư vấn,10.183.897.652,9.919.638.516,10183897652.0,9919638516.0
Chi phí cải tạo và sửa chữa,Chi phí cải tạo và sửa chữa,Chi phí cải tạo và sửa chữa,9.425.287.377,7.327.060.751,9425287377.0,7327060751.0
Chi phí thu xếp và bảo lãnh,Chi phí thu xếp và bảo lãnh,Chi phí thu xếp và bảo lãnh,,,,
khoản vay ngân hàng,Chi phí thu xếp và bảo lãnh > khoản vay ngân hàng,khoản vay ngân hàng,6.190.729.435,7.053.571.429,6190729435.0,7053571429.0
Chi phí tài trợ,Chi phí thu xếp và bảo lãnh > Chi phí tài trợ,Chi phí tài trợ,3.333.333.333,-,3333333333.0,
Khác,Chi phí thu xếp và bảo lãnh > Khác,Khác,10.194.879.951,3.592.437.452,10194879951.0,3592437452.0
TỔNG CỘNG,Chi phí thu xếp và bảo lãnh > TỔNG CỘNG,TỔNG CỘNG,873.063.976.246,731.032.844.177,873063976246.0,731032844177.0
