row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Xây dựng trại Hải Đăng Tây Ninh,Xây dựng trại Hải Đăng Tây Ninh,Xây dựng trại Hải Đăng Tây Ninh,473.032.298.360,217.785.849.918,473032298360.0,217785849918.0
Xây dựng trại Giai Xuân,Xây dựng trại Giai Xuân,Xây dựng trại Giai Xuân,90.032.182.796,58.549.915.147,90032182796.0,58549915147.0
Con giống,Con giống,Con giống,73.497.695.905,130.901.702.193,73497695905.0,130901702193.0
Xây dựng trại Tâm Hưng,Xây dựng trại Tâm Hưng,Xây dựng trại Tâm Hưng,47.339.379.533,54.771.520.151,47339379533.0,54771520151.0
Xây dựng trại Thức ăn chăn nuôi BAF Tây Ninh,Xây dựng trại Thức ăn chăn nuôi BAF Tây Ninh,Xây dựng trại Thức ăn chăn nuôi BAF Tây Ninh,36.593.012.147,9.487.875.860,36593012147.0,9487875860.0
Xây dựng trại Tân Châu,Xây dựng trại Tân Châu,Xây dựng trại Tân Châu,29.653.250.824,76.210.490.927,29653250824.0,76210490927.0
Xây dựng trại Tây An Khánh,Xây dựng trại Tây An Khánh,Xây dựng trại Tây An Khánh,17.864.951.817,-,17864951817.0,
Xây dựng trại Đông An Khánh,Xây dựng trại Đông An Khánh,Xây dựng trại Đông An Khánh,14.061.358.911,29.994.484.675,14061358911.0,29994484675.0
Xây dựng trại Bắc An Khánh,Xây dựng trại Bắc An Khánh,Xây dựng trại Bắc An Khánh,13.997.695.588,160.937.681.871,13997695588.0,160937681871.0
Xây dựng trại Sông Hinh,Xây dựng trại Sông Hinh,Xây dựng trại Sông Hinh,13.112.629.939,-,13112629939.0,
Phần mềm SAP,Phần mềm SAP,Phần mềm SAP,13.140.273.650,-,13140273650.0,
Xây dựng trung tâm bán heo MB,Xây dựng trung tâm bán heo MB,Xây dựng trung tâm bán heo MB,11.791.567.954,-,11791567954.0,
Xây dựng trại Cụm Bá Thước,Xây dựng trại Cụm Bá Thước,Xây dựng trại Cụm Bá Thước,11.122.349.400,-,11122349400.0,
Xây dựng trại Nam An Khánh,Xây dựng trại Nam An Khánh,Xây dựng trại Nam An Khánh,8.533.846.882,6.886.662.231,8533846882.0,6886662231.0
Xây dựng trại Quyên Linh,Xây dựng trại Quyên Linh,Xây dựng trại Quyên Linh,6.418.169.023,-,6418169023.0,
Xây dựng trại Anh Vũ Phú Yên,Xây dựng trại Anh Vũ Phú Yên,Xây dựng trại Anh Vũ Phú Yên,4.279.307.017,8.553.863.967,4279307017.0,8553863967.0
Xây dựng trại Trang Trại Xanh 2 Khác,Xây dựng trại Trang Trại Xanh 2 Khác,Xây dựng trại Trang Trại Xanh 2 Khác,-,125.938.143.304,,125938143304.0
Xây dựng trại Trang Trại Xanh 2 Khác,Xây dựng trại Trang Trại Xanh 2 Khác,Xây dựng trại Trang Trại Xanh 2 Khác,27.034.098.088,21.771.805.853,27034098088.0,21771805853.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,891.504.067.834,901.789.996.097,891504067834.0,901789996097.0
