row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Siba Food,Phải thu ngắn hạn của khách hàng > Siba Food,Siba Food,Bán hàng,51.503.060.237,71.863.962.065,,51503060237.0,71863962065.0
A An,Phải thu ngắn hạn của khách hàng > A An,A An,Bán hàng,6.709.599.036,-,,6709599036.0,
Tân Long,Phải thu ngắn hạn của khách hàng > Tân Long,Tân Long,Bán hàng,276.020.676,-,,276020676.0,
Siba Tech,Phải thu ngắn hạn của khách hàng > Siba Tech,Siba Tech,Bán hàng,51.465.028,88.107.126,,51465028.0,88107126.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng > TỔNG CỘNG,TỔNG CỘNG,,58.540.144.977,71.952.069.191,,58540144977.0,71952069191.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Siba Tech,Trả trước cho người bán ngắn hạn > Siba Tech,Siba Tech,Tạm ứng xây dựng trại,19.218.947.522,61.583.593.301,,19218947522.0,61583593301.0
Solacons,Trả trước cho người bán ngắn hạn > Solacons,Solacons,Mua hàng,-,1.189.090.909,,,1189090909.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,19.218.947.522,62.772.684.210,,19218947522.0,62772684210.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
BAF Myanmar,Phải thu ngắn hạn khác > BAF Myanmar,BAF Myanmar,Phải thu từ đầu tư vào công ty liên doanh,21.493.391.751,19.640.362.522,,21493391751.0,19640362522.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Siba Tech,Phải trả người bán ngắn hạn > Siba Tech,Siba Tech,Mua hàng,175.151.129.762,21.124.230.246,,175151129762.0,21124230246.0
Siba Food,Phải trả người bán ngắn hạn > Siba Food,Siba Food,Mua hàng,30.442.955.521,6.194.612.677,,30442955521.0,6194612677.0
Solacons,Phải trả người bán ngắn hạn > Solacons,Solacons,Mua hàng,2.955.932.400,327.272.727,,2955932400.0,327272727.0
Tân Long,Phải trả người bán ngắn hạn > Tân Long,Tân Long,Mua hàng,182.084.109,182.084.109,,182084109.0,182084109.0
A An,Phải trả người bán ngắn hạn > A An,A An,Mua hàng,-,3.359.988,,,3359988.0
TỔNG CỘNG,Phải trả người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,208.732.101.792,27.831.559.747,,208732101792.0,27831559747.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,
Siba Food,Phải trả ngắn hạn khác > Siba Food,Siba Food,Khác,-,27.481.798,,,27481798.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
BAF Myanmar,Người mua trả tiền trước ngắn hạn > BAF Myanmar,BAF Myanmar,Bán hàng,80.658.500,-,,80658500.0,
