row_label_raw,row_label_full,col_0,2021,2020(Trình bày lại (*)),numeric__2021,numeric__2020(Trình bày lại (*))
Lợi nhuận thuần phân bổ cho các cổ đông (VND),Lợi nhuận thuần phân bổ cho các cổ đông (VND),Lợi nhuận thuần phân bổ cho các cổ đông (VND),1.820.124.198.555,1.575.015.720.730,1820124198555.0,1575015720730.0
"Trích quỹ khen thưởng, phúc lợi (VND)","Trích quỹ khen thưởng, phúc lợi (VND)","Trích quỹ khen thưởng, phúc lợi (VND)",(202.831.768.175),(161.665.416.151),-202831768175.0,-161665416151.0
Lợi nhuận tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận tính lãi cơ bản trên cổ phiếu (VND),1.617.292.430.380,1.413.350.304.579,1617292430380.0,1413350304579.0
Bình quân số cổ phiếu phổ thông đang lưu hành(cổ phiếu),Bình quân số cổ phiếu phổ thông đang lưu hành(cổ phiếu),Bình quân số cổ phiếu phổ thông đang lưu hành(cổ phiếu),328.339.538,328.339.538,328339538.0,328339538.0
Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),4.926,4.305,4926.0,4305.0
