row_label_raw,row_label_full,Thời gian quá han,Tỷ lệ trích lập,numeric__Tỷ lệ trích lập
Từ 12 tháng trở lên,Từ 12 tháng trở lên,Từ 12 tháng trở lên,100%,1.0
Từ 9 tháng đến dưới 12 tháng,Từ 9 tháng đến dưới 12 tháng,Từ 9 tháng đến dưới 12 tháng,70%,0.7
Từ 6 tháng đến dưới 9 tháng,Từ 6 tháng đến dưới 9 tháng,Từ 6 tháng đến dưới 9 tháng,50%,0.5
Từ 3 tháng đến dưới 6 tháng,Từ 3 tháng đến dưới 6 tháng,Từ 3 tháng đến dưới 6 tháng,30%,0.3
