row_label_raw,row_label_full,Nguyễn Lương Tâm,Trường ban,-,-_1,numeric__Trường ban,numeric__-,numeric__-_1
Phan Phương Đạt,Phan Phương Đạt,Phan Phương Đạt,Thành viên,-,-,,,
Đỗ Xuân Phúc,Phan Phương Đạt > Đỗ Xuân Phúc,Đỗ Xuân Phúc,Thành viên,24.000.000,24.000.000,,24000000.0,24000000.0
,,,,24.000.000,24.000.000,,24000000.0,24000000.0
