row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Giấy phép bản quyền và quyền khai thác VND,Phần mềm vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Giấy phép bản quyền và quyền khai thác VND,numeric__Phần mềm vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,88.529.461.689,734.392.333.424,96.248.425.838,919.170.220.951,88529461689.0,734392333424.0,96248425838.0,919170220951.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,43.797.791.000,17.591.496.571,31.369.712.999,92.759.000.570,43797791000.0,17591496571.0,31369712999.0,92759000570.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,-,5.900.000.000,5.900.000.000,,,5900000000.0,5900000000.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,132.327.252.689,751.983.829.995,133.518.138.837,1.017.829.221.521,132327252689.0,751983829995.0,133518138837.0,1017829221521.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,-,(270.960.317.254),(58.654.259.575),(329.614.576.829),,-270960317254.0,-58654259575.0,-329614576829.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(52.572.153.180),(17.257.178.817),(69.829.331.997),,-52572153180.0,-17257178817.0,-69829331997.0
Tăng khác,Khấu hao lũy kế > Tăng khác,Tăng khác,-,-,(5.900.000.000),(5.900.000.000),,,-5900000000.0,-5900000000.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,(323.532.470.434),(81.811.438.392),(405.343.908.826),,-323532470434.0,-81811438392.0,-405343908826.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,88.529.461.689,463.432.016.170,37.594.166.263,589.555.644.122,88529461689.0,463432016170.0,37594166263.0,589555644122.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,132.327.252.689,428.451.359.561,51.706.700.445,612.485.312.695,132327252689.0,428451359561.0,51706700445.0,612485312695.0
