row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dưvốn cổ phầncủa chủ sở hữuVND,Vốn khácCổ phiếuquỹVND,Quỹ đầu tưphát triểnVND,Quỹ khACThuộc vốnchủ sở hữuVND,LNST chưaphản phốiVND,Lợi íchcủa cổ đôngkhòng kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dưvốn cổ phầncủa chủ sở hữuVND,numeric__Vốn khácCổ phiếuquỹVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Quỹ khACThuộc vốnchủ sở hữuVND,numeric__LNST chưaphản phốiVND,numeric__Lợi íchcủa cổ đôngkhòng kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,2.487.724.840.000,20.391.591.930,-,(300.150.000),599.601.897.399,34.572.210.000,1.566.505.241.188,314.204.538.249,2487724840000.0,20391591930.0,,-300150000.0,599601897399.0,34572210000.0,1566505241188.0,314204538249.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,1.575.015.838.802,88.884.571.522,,,,,,,1575015838802.0,88884571522.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,-,-,-,(1.318.334.276.000),(32.040.935.000),,,,,,,-1318334276000.0,-32040935000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,248.739.770.000,-,20.819.390.000,-,-,-,(269.559.160.000),-,248739770000.0,,20819390000.0,,,,-269559160000.0,
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,-,-,225.171.467.068,-,(225.171.467.068),-,,,,,225171467068.0,,-225171467068.0,
"Trích lập Quỹ khen thưởng,phúc lợi","Trích lập Quỹ khen thưởng,phúc lợi","Trích lập Quỹ khen thưởng,phúc lợi",-,-,-,-,-,-,(161.665.416.151),(8.888.492.075),,,,,,,-161665416151.0,-8888492075.0
Khác,Khác,Khác,-,71.166.343,34.572.210.000,-,-,(34.572.210.000),(84.577.853.967),(2.909.061.530),,71166343.0,34572210000.0,,,-34572210000.0,-84577853967.0,-2909061530.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,2.736.464.610.000,20.462.758.273,55.391.600.000,(300.150.000),824.773.364.467,-,1.082.212.906.804,359.250.621.166,2736464610000.0,20462758273.0,55391600000.0,-300150000.0,824773364467.0,,1082212906804.0,359250621166.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,1.820.124.198.555,95.713.437.479,,,,,,,1820124198555.0,95713437479.0
Chia cổ tức bằng tiền mặt (i),Chia cổ tức bằng tiền mặt (i),Chia cổ tức bằng tiền mặt (i),-,-,-,-,-,-,(328.339.538.000),(160.203.740.000),,,,,,,-328339538000.0,-160203740000.0
Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),547.230.920.000,-,-,-,-,-,(547.230.920.000),-,547230920000.0,,,,,,-547230920000.0,
"Trích lập quỹ khen thưởng,phúc lợi (iii)","Trích lập quỹ khen thưởng,phúc lợi (iii)","Trích lập quỹ khen thưởng,phúc lợi (iii)",-,-,-,-,-,-,(202.831.768.185),(9.571.389.419),,,,,,,-202831768185.0,-9571389419.0
Khác,Khác,Khác,-,-,-,-,-,-,(2.212.546.845),(1.936.063.582),,,,,,,-2212546845.0,-1936063582.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,3.283.695.530.000,20.462.758.273,55.391.600.000,(300.150.000),824.773.364.467,-,1.821.722.332.329,283.252.865.644,3283695530000.0,20462758273.0,55391600000.0,-300150000.0,824773364467.0,,1821722332329.0,283252865644.0
