row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm > 2021VND,Năm tài chính kết thúcngày 31 tháng 12 năm > 2020VND(Phân loại lại – Thuyết minh 34),numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm > 2021VND,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm > 2020VND(Phân loại lại – Thuyết minh 34)
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,12.698.133.981.339,11.487.811.295.401,,,12698133981339.0,11487811295401.0
02,02,02,Các khoản giảm trừ doanh thu,,11.717.730.878,21.657.080.799,,,11717730878.0,21657080799.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),22,12.686.416.250.461,11.466.154.214.602,,22.0,12686416250461.0,11466154214602.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,23,6.598.135.450.543,5.937.400.666.199,,23.0,6598135450543.0,5937400666199.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),,6.088.280.799.918,5.528.753.548.403,,,6088280799918.0,5528753548403.0
21,21,21,Doanh thu hoạt động tài chính,24,496.205.208.929,354.268.786.060,,24.0,496205208929.0,354268786060.0
22,22,22,Chi phí tài chính,25,300.744.727.104,255.671.428.972,,25.0,300744727104.0,255671428972.0
23,23,23,- Trong đó: Chi phí lãi vay,,220.614.607.102,242.652.884.344,,,220614607102.0,242652884344.0
25,25,25,Chi phí bán hàng,26,1.884.539.198.503,1.709.895.232.541,,26.0,1884539198503.0,1709895232541.0
26,26,26,Chi phí quản lý doanh nghiệp,27,2.009.848.282.131,1.853.701.708.673,,27.0,2009848282131.0,1853701708673.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 25 - 26),,2.389.353.801.109,2.063.753.964.277,,,2389353801109.0,2063753964277.0
31,31,31,Thu nhập khác,,14.836.952.588,19.279.669.830,,,14836952588.0,19279669830.0
32,32,32,Chi phí khác,,9.260.977.910,8.997.696.622,,,9260977910.0,8997696622.0
40,40,40,Lợi nhuận khác (40 = 31 - 32),,5.575.974.678,10.281.973.208,,,5575974678.0,10281973208.0
50,50,50,Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),,2.394.929.775.787,2.074.035.937.485,,,2394929775787.0,2074035937485.0
51,51,51,"Chi phí thuế thu nhập doanh nghiệp (TNDN"") hiện hành",28,458.846.923.319,436.076.164.198,,28.0,458846923319.0,436076164198.0
52,52,52,Chi phí/(thu nhập) thuế TNDN hoãn lại,28,20.245.216.434,(25.940.518.965),,28.0,20245216434.0,-25940518965.0
60,60,60,Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),,1.915.837.636.034,1.663.900.292.252,,,1915837636034.0,1663900292252.0
,,,Phân bổ cho:,,,,,,,
61,61,61,Cổ đông của công ty mẹ,,1.820.124.198.555,1.575.015.720.730,,,1820124198555.0,1575015720730.0
62,62,62,Cổ đông không kiểm soát,,95.713.437.479,88.884.571.522,,,95713437479.0,88884571522.0
70,70,70,Lãi cơ bản trên cổ phiếu,20(a),4.926,4.305,,,4926.0,4305.0
71,71,71,Lãi suy giảm trên cổ phiếu,20(b),4.926,4.305,,,4926.0,4305.0
