row_label_raw,row_label_full,col_0,2021Cổ phiếu phổ thông,2020Cổ phiếu phổ thông,numeric__2021Cổ phiếu phổ thông,numeric__2020Cổ phiếu phổ thông
Số lượng cổ phiếu đã đăng ký,Số lượng cổ phiếu đã đăng ký,Số lượng cổ phiếu đã đăng ký,328.369.553,273.646.461,328369553.0,273646461.0
Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,30.015,30.015,30015.0,30015.0
Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,328.339.538,273.616.446,328339538.0,273616446.0
