row_label_raw,row_label_full,TÀI SẢN CÓ ĐỊNH (“TSCĐ”),TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_1,TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_2,TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_3,TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_4,TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_5,numeric__TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_1,numeric__TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_2,numeric__TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_3,numeric__TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_4,numeric__TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_5
,,,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Thiết bịquản lýVND,Phương tiệnvận tảiVND,Tổng cộngVND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,204.379.334.540,8.251.014.682.598,252.929.720.127,20.407.928.739,8.728.731.666.004,204379334540.0,8251014682598.0,252929720127.0,20407928739.0,8728731666004.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.149.716.968,1.012.303.147.521,16.718.411.763,1.788.057.621,1.031.959.333.873,1149716968.0,1012303147521.0,16718411763.0,1788057621.0,1031959333873.0
Chuyển sang từ xây dựng cơ bản đở dang (Thuyết minh 10),Nguyên giá > Chuyển sang từ xây dựng cơ bản đở dang (Thuyết minh 10),Chuyển sang từ xây dựng cơ bản đở dang (Thuyết minh 10),-,165.402.577.365,-,-,165.402.577.365,,165402577365.0,,,165402577365.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,39.163.887.580,(39.163.887.580),-,-,,39163887580.0,-39163887580.0,,
"Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)","Nguyên giá > Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)","Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)",(23.256.990),(369.426.190.062),(42.024.386.199),-,(411.473.833.251),-23256990.0,-369426190062.0,-42024386199.0,,-411473833251.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,-,-,(3.469.507.453),(3.469.507.453),,,,-3469507453.0,-3469507453.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,205.505.794.518,9.098.458.105.002,188.459.858.111,18.726.478.907,9.511.150.236.538,205505794518.0,9098458105002.0,188459858111.0,18726478907.0,9511150236538.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,(58.782.191.929),(4.107.914.823.994),(243.367.628.864),(14.114.910.400),(4.424.179.555.187),-58782191929.0,-4107914823994.0,-243367628864.0,-14114910400.0,-4424179555187.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(7.885.913.055),(1.047.971.155.545),(3.204.363.736),(1.504.763.411),(1.060.566.195.747),-7885913055.0,-1047971155545.0,-3204363736.0,-1504763411.0,-1060566195747.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,(39.163.887.580),39.163.887.580,-,-,,-39163887580.0,39163887580.0,,
"Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)","Giá trị khấu hao lũy kế > Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)","Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)",-,227.905.289.124,38.112.762.715,-,266.018.051.839,,227905289124.0,38112762715.0,,266018051839.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,-,-,3.060.645.734,3.060.645.734,,,,3060645734.0,3060645734.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,(66.668.104.984),(4.967.144.577.995),(169.295.342.305),(12.559.028.077),(5.215.667.053.361),-66668104984.0,-4967144577995.0,-169295342305.0,-12559028077.0,-5215667053361.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,145.597.142.611,4.143.099.858.604,9.562.091.263,6.293.018.339,4.304.552.110.817,145597142611.0,4143099858604.0,9562091263.0,6293018339.0,4304552110817.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,138.837.689.534,4.131.313.527.007,19.164.515.806,6.167.450.830,4.295.483.183.177,138837689534.0,4131313527007.0,19164515806.0,6167450830.0,4295483183177.0
