row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2021VND,Số phải thu trong năm VND,Số đã thực thu trong năm VND,Tại ngày31.12.2021VND,numeric__col_1,numeric__Tại ngày1.1.2021VND,numeric__Số phải thu trong năm VND,numeric__Số đã thực thu trong năm VND,numeric__Tại ngày31.12.2021VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,
(a),(a) > (a),(a),Thuế TNDN,9.444.092.790,-,-,9.444.092.790,,9444092790.0,,,9444092790.0
(a),(a) > (a),(a),Thuế thu nhập cá nhân,158.179.112,191.984.461,132.871.603,217.291.970,,158179112.0,191984461.0,132871603.0,217291970.0
(a),(a) > (a),(a),,9.602.271.902,191.984.461,132.871.603,9.661.384.760,,9602271902.0,191984461.0,132871603.0,9661384760.0
(a),(a),(a),,Tại ngày1.1.2021VND,Số phải nộp trong năm VND,Số đã thực nộp trong năm VND,Tại ngày31.12.2021VND,,,,,
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,
(b),(b) > (b),(b),Thuế GTGT đầu ra,38.376.457.416,1.881.828.339.884,1.872.193.720.801,48.011.076.499,,38376457416.0,1881828339884.0,1872193720801.0,48011076499.0
(b),(b) > (b),(b),Thuế GTGT đầu ra hàng nhập khẩu,-,146.739.765.001,146.739.740.010,24.991,,,146739765001.0,146739740010.0,24991.0
(b),(b) > (b),(b),Thuế TNDN,138.808.796.214,458.846.923.319,512.008.960.980,85.646.758.553,,138808796214.0,458846923319.0,512008960980.0,85646758553.0
(b),(b) > (b),(b),Thuế nhà thầu,4.147.611.931,39.360.177.428,40.669.694.266,2.838.095.093,,4147611931.0,39360177428.0,40669694266.0,2838095093.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,5.237.740.890,160.544.987.318,158.514.671.540,7.268.056.668,,5237740890.0,160544987318.0,158514671540.0,7268056668.0
(b),(b) > (b),(b),Thuế nhập khẩu,-,3.737.621.930,3.737.372.019,249.911,,,3737621930.0,3737372019.0,249911.0
(b),(b) > (b),(b),Thuế môn bài,-,322.500.000,322.500.000,-,,,322500000.0,322500000.0,
(b),(b) > (b),(b),Thuế khác,-,31.341.996,31.341.996,-,,,31341996.0,31341996.0,
,,,,186.570.606.451,2.691.411.656.876,2.734.218.001.612,143.764.261.715,,186570606451.0,2691411656876.0,2734218001612.0,143764261715.0
