row_label_raw,row_label_full,Hoàng Việt Anh,Tổng Giám đốc,2.242.000.000,2.040.000.000,numeric__Tổng Giám đốc,numeric__2.242.000.000,numeric__2.040.000.000
Nguyễn Hoàng Linh,Nguyễn Hoàng Linh,Nguyễn Hoàng Linh,Phó Tổng Giám đốc,1.680.000.000,1.530.000.000,,1680000000.0,1530000000.0
Vũ Thị Mai Hương,Vũ Thị Mai Hương,Vũ Thị Mai Hương,Phó Tổng Giám đốc,1.680.000.000,1.530.000.000,,1680000000.0,1530000000.0
Chu Hùng Thắng,Chu Hùng Thắng,Chu Hùng Thắng,Phó Tổng Giám đốc,1.680.000.000,1.530.000.000,,1680000000.0,1530000000.0
Hoàng Trung Kiên,Hoàng Trung Kiên,Hoàng Trung Kiên,Phó Tổng Giám đốc(miễn nhiệm ngày 6tháng 3 năm 2020),-,300.000.000,,,300000000.0
Vũ Anh Tú,Vũ Anh Tú,Vũ Anh Tú,Phó Tổng Giám đốc(miễn nhiệm ngày 7tháng 9 năm 2020),-,1.050.000.000,,,1050000000.0
Đỗ Thị Hương,Đỗ Thị Hương,Đỗ Thị Hương,Kế toán trường,1.344.000.000,1.224.000.000,,1344000000.0,1224000000.0
,,,,8.626.000.000,9.204.000.000,,8626000000.0,9204000000.0
