row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tổng cộng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,18.825.345.650,205.700.000,19.031.045.650,18825345650.0,205700000.0,19031045650.0
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,18.825.345.650,205.700.000,19.031.045.650,18825345650.0,205700000.0,19031045650.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,
Tại ngày đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày đầu năm,Tại ngày đầu năm,-,205.700.000,205.700.000,,205700000.0,205700000.0
Tại ngày cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,-,205.700.000,205.700.000,,205700000.0,205700000.0
GIÁ TRỊ CỔN LẠI,GIÁ TRỊ CỔN LẠI,GIÁ TRỊ CỔN LẠI,GIÁ TRỊ CỔN LẠI,GIÁ TRỊ CỔN LẠI,GIÁ TRỊ CỔN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CỔN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,18.825.345.650,-,18.825.345.650,18825345650.0,,18825345650.0
Tại ngày cuối năm,GIÁ TRỊ CỔN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,18.825.345.650,-,18.825.345.650,18825345650.0,,18825345650.0
