row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,921.631.786.230,810.263.352.928,100.0,,921631786230.0,810263352928.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,3.486.351.810,3.467.883.940,110.0,4.0,3486351810.0,3467883940.0
1. Tiền,1. Tiền,1. Tiền,111,,286.351.810,267.883.940,111.0,,286351810.0,267883940.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,3.200.000.000,3.200.000.000,112.0,,3200000000.0,3200000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,889.156.687.428,770.900.190.623,120.0,,889156687428.0,770900190623.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,5,44.120.004.509,46.881.188.464,121.0,5.0,44120004509.0,46881188464.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,5,(10.968.574.909),(8.158.988.019),122.0,5.0,-10968574909.0,-8158988019.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,123,6,856.005.257.828,732.177.990.178,123.0,6.0,856005257828.0,732177990178.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,25.590.434.995,32.925.227.054,130.0,,25590434995.0,32925227054.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,8,4.514.020.937,4.914.049.445,131.0,8.0,4514020937.0,4914049445.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,9,733.383.909,9.336.546.254,132.0,9.0,733383909.0,9336546254.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,10,20.704.404.598,19.036.005.804,136.0,10.0,20704404598.0,19036005804.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,11,(361.374.449),(361.374.449),137.0,11.0,-361374449.0,-361374449.0
IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,150,,3.398.311.997,2.970.051.311,150.0,,3398311997.0,2970051311.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,12,66.823.806,45.738.720,151.0,12.0,66823806.0,45738720.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,3.285.527.723,2.902.549.226,152.0,,3285527723.0,2902549226.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,45.960.468,21.763.365,153.0,,45960468.0,21763365.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,2.260.672.065.434,2.155.950.433.390,200.0,,2260672065434.0,2155950433390.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,1.014.500.000,1.014.500.000,210.0,,1014500000.0,1014500000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,10,1.014.500.000,1.014.500.000,216.0,10.0,1014500000.0,1014500000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,36.763.643.384,38.972.467.846,220.0,,36763643384.0,38972467846.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,17.938.297.734,20.147.122.196,221.0,13.0,17938297734.0,20147122196.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,25.067.721.456,25.101.289.412,222.0,,25067721456.0,25101289412.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(7.129.423.722),(4.954.167.216),223.0,,-7129423722.0,-4954167216.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,14,18.825.345.650,18.825.345.650,227.0,14.0,18825345650.0,18825345650.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,19.031.045.650,19.031.045.650,228.0,,19031045650.0,19031045650.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(205.700.000),(205.700.000),229.0,,-205700000.0,-205700000.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,15,78.568.097.856,80.473.281.156,230.0,15.0,78568097856.0,80473281156.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,84.864.435.156,84.672.504.853,231.0,,84864435156.0,84672504853.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(6.296.337.300),(4.199.223.697),232.0,,-6296337300.0,-4199223697.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,878.723.556,-,240.0,,878723556.0,
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,878.723.556,-,242.0,,878723556.0,
