row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng CP,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý (i),Số cuối năm > Dự phòng,Số đầu năm(Trình bày lại) > Số lượng CP,Số đầu năm(Trình bày lại) > Giá gốc,Số đầu năm(Trình bày lại) > Giá trị hợp lý (i),Số đầu năm(Trình bày lại) > Dự phòng,numeric__Số cuối năm > Số lượng CP,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý (i),numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm(Trình bày lại) > Số lượng CP,numeric__Số đầu năm(Trình bày lại) > Giá gốc,numeric__Số đầu năm(Trình bày lại) > Giá trị hợp lý (i),numeric__Số đầu năm(Trình bày lại) > Dự phòng
,,,,VND,VND,VND,,VND,VND,VND,,,,,,,,
,,,185.997.139,2.155.218.436.914,,11.940.120.365,163.997.139,1.935.218.436.914,,11.060.069.059,185997139.0,2155218436914.0,,11940120365.0,163997139.0,1935218436914.0,,11060069059.0
- Đầu tư vào công ty con,- Đầu tư vào công ty con,- Đầu tư vào công ty con,182.014.139,2.096.270.036.914,,11.940.120.365,160.014.139,1.876.270.036.914,,11.060.069.059,182014139.0,2096270036914.0,,11940120365.0,160014139.0,1876270036914.0,,11060069059.0
Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ (ii),Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ (ii),Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ (ii),83.700.523,880.593.089.954,,-,83.700.523,880.593.089.954,,-,83700523.0,880593089954.0,,,83700523.0,880593089954.0,,
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam (iii),Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam (iii),Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam (iii),10.000.000,100.000.000.000,,-,10.000.000,100.000.000.000,,-,10000000.0,100000000000.0,,,10000000.0,100000000000.0,,
Công ty CP Dược phẩm Cửu Long (iv),Công ty CP Dược phẩm Cửu Long (iv),Công ty CP Dược phẩm Cửu Long (iv),42.402.616,656.566.946.960,,-,42.402.616,656.566.946.960,,-,42402616.0,656566946960.0,,,42402616.0,656566946960.0,,
Công ty CP Đầu tư Bất động sản F.I.T (v),Công ty CP Đầu tư Bất động sản F.I.T (v),Công ty CP Đầu tư Bất động sản F.I.T (v),31.900.000,319.000.000.000,,-,9.900.000,99.000.000.000,,-,31900000.0,319000000000.0,,,9900000.0,99000000000.0,,
Công ty CP F.I.T Consumer (vi),Công ty CP F.I.T Consumer (vi),Công ty CP F.I.T Consumer (vi),14.011.000,140.110.000.000,,11.940.120.365,14.011.000,140.110.000.000,,11.060.069.059,14011000.0,140110000000.0,,11940120365.0,14011000.0,140110000000.0,,11060069059.0
"- Đầu tư vào công ty liên doanh, liên kết","- Đầu tư vào công ty liên doanh, liên kết","- Đầu tư vào công ty liên doanh, liên kết",3.983.000,58.948.400.000,,-,3.983.000,58.948.400.000,,-,3983000.0,58948400000.0,,,3983000.0,58948400000.0,,
Công ty CP Chứng khoán Đại Nam,Công ty CP Chứng khoán Đại Nam,Công ty CP Chứng khoán Đại Nam,3.983.000,58.948.400.000,,-,3.983.000,58.948.400.000,,-,3983000.0,58948400000.0,,,3983000.0,58948400000.0,,
