row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,VND,VND,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.486.351.810,3.467.883.940,3486351810.0,3467883940.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,24.671.202.357,23.442.852.335,24671202357.0,23442852335.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,889.156.687.428,770.900.190.623,889156687428.0,770900190623.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,110.000.000.000,,110000000000.0
Các khoản ký quỹ,Tài sản tài chính > Các khoản ký quỹ,Các khoản ký quỹ,1.069.620.000,1.054.300.000,1069620000.0,1054300000.0
Cộng,Tài sản tài chính > Cộng,Cộng,918.383.861.595,908.865.226.898,918383861595.0,908865226898.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,160.145.354.639,48.937.898.453,160145354639.0,48937898453.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,105.737.313.515,12.107.147.438,105737313515.0,12107147438.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,6.389.080.763,11.473.875.785,6389080763.0,11473875785.0
Cộng,Công nợ tài chính > Cộng,Cộng,272.271.748.917,72.518.921.676,272271748917.0,72518921676.0
