row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước(Trình bày lại),numeric__Mã số,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,24.821.974.881,51.426.392.444,1.0,24821974881.0,51426392444.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,,,
- Khấu hao TSCĐ và BĐSDT,2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ và BĐSDT,- Khấu hao TSCĐ và BĐSDT,02,4.272.370.109,4.246.735.459,2.0,4272370109.0,4246735459.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,3.689.638.196,13.057.975.464,3.0,3689638196.0,13057975464.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(44.237.665.774),(85.304.884.420),5.0,-44237665774.0,-85304884420.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,5.596.574.365,17.191.700.799,6.0,5596574365.0,17191700799.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,(5.857.108.223),617.919.746,8.0,-5857108223.0,617919746.0
- (Tăng)/giảm các khoản phải thu,2. Điều chỉnh cho các khoản > - (Tăng)/giảm các khoản phải thu,- (Tăng)/giảm các khoản phải thu,09,7.677.271.433,5.902.345.829,9.0,7677271433.0,5902345829.0
"- Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > - Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","- Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,89.371.620.519,(182.974.569),11.0,89371620519.0,-182974569.0
