row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số đã báo cáo,Phân loại lại,Số sau phân loại lại,Ghi chú,numeric__Mã số,numeric__Số đã báo cáo,numeric__Phân loại lại,numeric__Số sau phân loại lại,numeric__Ghi chú
Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,,,,,
Dự phòng đầu tư tài chính dài hạn,Bảng cân đối kế toán > Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,-,(11.060.069.059),(11.060.069.059),(i),254.0,,-11060069059.0,-11060069059.0,
Lợi nhuận sau thuế chưa phân phối,Bảng cân đối kế toán > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,275.257.698.178,(11.060.069.059),264.197.629.119,(i),421.0,275257698178.0,-11060069059.0,264197629119.0,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,Bảng cân đối kế toán > - LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,225.464.638.362,(6.161.081.614),219.303.556.748,,,225464638362.0,-6161081614.0,219303556748.0,
- LNST chưa phân phối kỳ này,Bảng cân đối kế toán > - LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,49.793.059.816,(4.898.987.445),44.894.072.371,,,49793059816.0,-4898987445.0,44894072371.0,
Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,,,,,
Chi phí tài chính,Báo cáo kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,22,26.475.727.467,4.898.987.445,31.374.714.912,(i),22.0,26475727467.0,4898987445.0,31374714912.0,
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,56.152.643.211,(4.898.987.445),51.253.655.766,(i),30.0,56152643211.0,-4898987445.0,51253655766.0,
Tổng lợi nhuận kế toán trước thuế,Báo cáo kết quả hoạt động kinh doanh > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,56.325.379.889,(4.898.987.445),51.426.392.444,(i),50.0,56325379889.0,-4898987445.0,51426392444.0,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Báo cáo kết quả hoạt động kinh doanh > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,49.793.059.816,(4.898.987.445),44.894.072.371,(i),60.0,49793059816.0,-4898987445.0,44894072371.0,
Lãi cơ bản trên cổ phiếu,Báo cáo kết quả hoạt động kinh doanh > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,195,(19),176,(i),70.0,195.0,-19.0,176.0,
Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,,,,,
Lợi nhuận trước thuế,Báo cáo lưu chuyển tiền tệ > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,56.325.379.889,(4.898.987.445),51.426.392.444,(i),1.0,56325379889.0,-4898987445.0,51426392444.0,
Các khoản dự phòng,Báo cáo lưu chuyển tiền tệ > Các khoản dự phòng,Các khoản dự phòng,03,8.158.988.019,4.898.987.445,13.057.975.464,(i),3.0,8158988019.0,4898987445.0,13057975464.0,
