row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,24.821.974.881,51.426.392.444,24821974881.0,51426392444.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,(5.306.174.123),(18.652.442.079),-5306174123.0,-18652442079.0
Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,(6.697.126.225),(24.679.305.843),-6697126225.0,-24679305843.0
Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,1.390.952.102,6.026.863.764,1390952102.0,6026863764.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,19.515.800.758,32.773.950.365,19515800758.0,32773950365.0
Thuế suất,Thuế suất,Thuế suất,20%,20%,0.2,0.2
Chi phí thuế thu nhập tính trên thu nhập chịu thuế năm nay,Chi phí thuế thu nhập tính trên thu nhập chịu thuế năm nay,Chi phí thuế thu nhập tính trên thu nhập chịu thuế năm nay,3.903.160.152,6.554.790.073,3903160152.0,6554790073.0
Điều chỉnh thuế năm trước,Điều chỉnh thuế năm trước,Điều chỉnh thuế năm trước,-,(22.470.000),,-22470000.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,3.903.160.152,6.532.320.073,3903160152.0,6532320073.0
