row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Cộng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Cộng
,,,VND,VND,VND,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Tiền và các khoản tương đương tiền,Tại ngày đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.467.883.940,-,3.467.883.940,3467883940.0,,3467883940.0
Phải thu khách hàng và phải thu khác,Tại ngày đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,23.442.852.335,-,23.442.852.335,23442852335.0,,23442852335.0
Đầu tư tài chính ngắn hạn,Tại ngày đầu năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,770.900.190.623,-,770.900.190.623,770900190623.0,,770900190623.0
Đầu tư tài chính dài hạn,Tại ngày đầu năm > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,110.000.000.000,110.000.000.000,,110000000000.0,110000000000.0
Các khoản ký quỹ,Tại ngày đầu năm > Các khoản ký quỹ,Các khoản ký quỹ,39.800.000,1.014.500.000,1.054.300.000,39800000.0,1014500000.0,1054300000.0
Cộng,Tại ngày đầu năm > Cộng,Cộng,797.850.726.898,111.014.500.000,908.865.226.898,797850726898.0,111014500000.0,908865226898.0
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Các khoản vay,Tại ngày đầu năm > Các khoản vay,Các khoản vay,25.498.833.953,23.439.064.500,48.937.898.453,25498833953.0,23439064500.0,48937898453.0
Phải trả người bán và phải trả khác,Tại ngày đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,428.229.488,11.678.917.950,12.107.147.438,428229488.0,11678917950.0,12107147438.0
Chi phí phải trả,Tại ngày đầu năm > Chi phí phải trả,Chi phí phải trả,11.473.875.785,-,11.473.875.785,11473875785.0,,11473875785.0
Cộng,Tại ngày đầu năm > Cộng,Cộng,37.400.939.226,35.117.982.450,72.518.921.676,37400939226.0,35117982450.0,72518921676.0
Chênh lệch thanh khoản thuần,Tại ngày đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,760.449.787.672,75.896.517.550,836.346.305.222,760449787672.0,75896517550.0,836346305222.0
