row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Qũy đầu tư phát triển,LNST chưa phân phối và các quỹ,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Qũy đầu tư phát triển,numeric__LNST chưa phân phối và các quỹ,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư tại ngày đầu năm trước,Số dư tại ngày đầu năm trước,Số dư tại ngày đầu năm trước,2.547.302.470.000,70.045.649.714,886.852.413,226.464.638.362,2.844.699.610.489,2547302470000.0,70045649714.0,886852413.0,226464638362.0,2844699610489.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,-,,,,,
Lãi trong năm,Tăng vốn trong năm > Lãi trong năm,Lãi trong năm,-,-,-,49.793.059.816,49.793.059.816,,,,49793059816.0,49793059816.0
Trích quỹ khen thưởng phúc lợi,Tăng vốn trong năm > Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(1.000.000.000),(1.000.000.000),,,,-1000000000.0,-1000000000.0
Trích lập dự phòng Công ty con trong năm (trình bày lại),Tăng vốn trong năm > Trích lập dự phòng Công ty con trong năm (trình bày lại),Trích lập dự phòng Công ty con trong năm (trình bày lại),-,-,-,(4.898.987.445),(4.898.987.445),,,,-4898987445.0,-4898987445.0
Điều chính hồi tố dự phòng Công ty con các năm trước (trình bày lại),Tăng vốn trong năm > Điều chính hồi tố dự phòng Công ty con các năm trước (trình bày lại),Điều chính hồi tố dự phòng Công ty con các năm trước (trình bày lại),-,-,-,(6.161.081.614),(6.161.081.614),,,,-6161081614.0,-6161081614.0
Số dư tại ngày đầu năm (trình bày lại),Tăng vốn trong năm > Số dư tại ngày đầu năm (trình bày lại),Số dư tại ngày đầu năm (trình bày lại),2.547.302.470.000,70.045.649.714,886.852.413,264.197.629.119,2.882.432.601.246,2547302470000.0,70045649714.0,886852413.0,264197629119.0,2882432601246.0
Lãi trong năm,Tăng vốn trong năm > Lãi trong năm,Lãi trong năm,-,-,-,20.918.814.729,20.918.814.729,,,,20918814729.0,20918814729.0
Giảm khác (i),Tăng vốn trong năm > Giảm khác (i),Giảm khác (i),-,-,-,(4.192.976.194),(4.192.976.194),,,,-4192976194.0,-4192976194.0
Số dư tại ngày cuối năm,Tăng vốn trong năm > Số dư tại ngày cuối năm,Số dư tại ngày cuối năm,2.547.302.470.000,70.045.649.714,886.852.413,280.923.467.654,2.899.158.439.781,2547302470000.0,70045649714.0,886852413.0,280923467654.0,2899158439781.0
