row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Giảm,Trong năm > Tăng,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Giảm,numeric__Trong năm > Tăng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,VND137.236.354.639,VND137.236.354.639,VND1.546.427.840.033,VND1.668.582.722.719,VND15.081.471.953,VND15.081.471.953,,,,,,
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),Vay ngắn hạn > - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),79.422.883.960,79.422.883.960,826.184.503.828,890.525.915.835,15.081.471.953,15.081.471.953,79422883960.0,79422883960.0,826184503828.0,890525915835.0,15081471953.0,15081471953.0
- Ngân hàng TMCP Việt Nam Thịnh Vượng (ii),Vay ngắn hạn > - Ngân hàng TMCP Việt Nam Thịnh Vượng (ii),- Ngân hàng TMCP Việt Nam Thịnh Vượng (ii),52.813.470.679,52.813.470.679,717.703.299.205,770.516.769.884,-,-,52813470679.0,52813470679.0,717703299205.0,770516769884.0,,
- Ngân hàng TNHH MTV Public Việt Nam (iii),Vay ngắn hạn > - Ngân hàng TNHH MTV Public Việt Nam (iii),- Ngân hàng TNHH MTV Public Việt Nam (iii),5.000.000.000,5.000.000.000,28.600.000,5.028.600.000,-,-,5000000000.0,5000000000.0,28600000.0,5028600000.0,,
- Công ty Cổ phần Chứng khoán Đại Nam,Vay ngắn hạn > - Công ty Cổ phần Chứng khoán Đại Nam,- Công ty Cổ phần Chứng khoán Đại Nam,-,-,2.511.437.000,2.511.437.000,-,-,,,2511437000.0,2511437000.0,,
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,10.182.000.000,10.182.000.000,18.112.702.500,17.877.340.500,10.417.362.000,10.417.362.000,10182000000.0,10182000000.0,18112702500.0,17877340500.0,10417362000.0,10417362000.0
- Ngân hàng TMCP Đông Nam Á,Vay ngắn hạn > - Ngân hàng TMCP Đông Nam Á,- Ngân hàng TMCP Đông Nam Á,-,-,13.021.702.500,2.604.340.500,10.417.362.000,10.417.362.000,,,13021702500.0,2604340500.0,10417362000.0,10417362000.0
- Ngân hàng TMCP Việt Nam Thịnh Vượng (iv),Vay ngắn hạn > - Ngân hàng TMCP Việt Nam Thịnh Vượng (iv),- Ngân hàng TMCP Việt Nam Thịnh Vượng (iv),10.182.000.000,10.182.000.000,5.091.000.000,15.273.000.000,-,-,10182000000.0,10182000000.0,5091000000.0,15273000000.0,,
Tổng Vay ngắn hạn,Vay ngắn hạn > Tổng Vay ngắn hạn,Tổng Vay ngắn hạn,147.418.354.639,147.418.354.639,1.564.540.542.533,1.686.460.063.219,25.498.833.953,25.498.833.953,147418354639.0,147418354639.0,1564540542533.0,1686460063219.0,25498833953.0,25498833953.0
Vay dài hạn,Vay ngắn hạn > Vay dài hạn,Vay dài hạn,12.727.000.000,12.727.000.000,38.712.064.500,28.000.000.000,23.439.064.500,23.439.064.500,12727000000.0,12727000000.0,38712064500.0,28000000000.0,23439064500.0,23439064500.0
- Ngân hàng TMCP Đông Nam Á,Vay ngắn hạn > - Ngân hàng TMCP Đông Nam Á,- Ngân hàng TMCP Đông Nam Á,-,-,23.439.064.500,,23.439.064.500,23.439.064.500,,,23439064500.0,,23439064500.0,23439064500.0
- Ngân hàng TMCP Việt Nam Thịnh Vượng (iv),Vay ngắn hạn > - Ngân hàng TMCP Việt Nam Thịnh Vượng (iv),- Ngân hàng TMCP Việt Nam Thịnh Vượng (iv),12.727.000.000,12.727.000.000,15.273.000.000,28.000.000.000,-,-,12727000000.0,12727000000.0,15273000000.0,28000000000.0,,
