row_label_raw,row_label_full,col_0,VND,numeric__VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,281.220.744.876,281220744876.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,704.200.000,704200000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,281.924.944.876,281924944876.0
HAO MÒN,HAO MÒN,HAO MÒN,HAO MÒN,
Số dư đầu năm,HAO MÒN > Số dư đầu năm,Số dư đầu năm,55.291.329.604,55291329604.0
Phân bố trong năm,HAO MÒN > Phân bố trong năm,Phân bố trong năm,26.599.390.245,26599390245.0
Số dư cuối năm,HAO MÒN > Số dư cuối năm,Số dư cuối năm,81.890.719.849,81890719849.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,225.929.415.272,225929415272.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,200.034.225.027,200034225027.0
