row_label_raw,row_label_full,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu và quyền biểu quyết nắm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu và quyền biểu quyết nắm giữ,numeric__Hoạt động chính
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,"Số 261 - 263 Khánh Hội, phường 5, quận 4, thành phố Hồ Chí Minh","46,53%","Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông; đại lý dịch vụ viễn thông",,0.4653,
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,"Số 17 phố Duy Tân, phường Dịch Vọng Hậu, quận Cầu Giấy, Hà Nội",48%,"Sản xuất các sản phẩm công nghệ và phân phối các linh kiện CNTT và điện thoại di động, chế tạo máy tính",,0.48,
Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,"Số 52 đường Lạc Long Quân, phường Bười, quận Tây Hồ, thành phố Hà Nội",20%,"Các hoạt động môi giới chứng khoán, tự doanh chứng khoán, tư vấn đầu tư chứng khoán và dịch vụ lưu ký chứng khoán",,0.2,
Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,"Tầng 9, Tòa nhà TTC Lô B1A, phường Dịch Vọng Hậu, quận Cầu Giấy, Hà Nội",25%,"Quản lý quỹ đầu tư, quản lý danh mục đầu tư và các dịch vụ khác",,0.25,
Công ty Cổ phần Công nghệ HOMA,Công ty Cổ phần Công nghệ HOMA,Công ty Cổ phần Công nghệ HOMA,"Nhà 5, đường số 13, Công viên phần mềm Quang Trung, phường Tân Chánh Hiệp, quận 12, thành phố Hồ Chí Minh","30,43%","Sản xuất, sửa chữa linh kiện điện tử, thiết bị truyền thông, thiết bị điện",,0.3043,
