row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,25.612.489.544.931,18.979.176.128.930,,100.0,,25612489544931.0,18979176128930.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,4.686.191.374.038,3.453.388.617.569,,110.0,5.0,4686191374038.0,3453388617569.0
I.,I.,I.,1. Tiền,111,,2.216.742.790.757,2.611.644.417.963,,111.0,,2216742790757.0,2611644417963.0
I.,I.,I.,2. Các khoản tương đương tiền,112,,2.469.448.583.281,841.744.199.606,,112.0,,2469448583281.0,841744199606.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,12.435.918.124.269,6.708.978.162.325,,120.0,,12435918124269.0,6708978162325.0
II.,II.,II.,1. Đầu tư nằm giữ đến ngày đáo hạn,123,6,12.435.918.124.269,6.708.978.162.325,,123.0,6.0,12435918124269.0,6708978162325.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,6.265.411.863.371,6.536.251.148.622,,130.0,,6265411863371.0,6536251148622.0
III.,III.,III.,1. Phải thu ngắn hạn của khách hàng,131,7,5.564.392.191.491,5.812.938.112.346,,131.0,7.0,5564392191491.0,5812938112346.0
III.,III.,III.,2. Trả trước cho người bán ngắn hạn,132,8,459.336.196.478,274.779.131.899,,132.0,8.0,459336196478.0,274779131899.0
III.,III.,III.,3. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,9,197.972.680.487,318.339.389.202,,134.0,9.0,197972680487.0,318339389202.0
III.,III.,III.,4. Phải thu về cho vay ngắn hạn,135,,185.532.228.683,394.176.861,,135.0,,185532228683.0,394176861.0
III.,III.,III.,5. Phải thu ngắn hạn khác,136,10,480.833.352.415,491.315.953.067,,136.0,10.0,480833352415.0,491315953067.0
III.,III.,III.,6. Dự phòng phải thu ngắn hạn khó đòi,137,11,(622.654.786.183),(361.515.614.753),,137.0,11.0,-622654786183.0,-361515614753.0
IV.,IV.,IV.,Hàng tồn kho,140,12,1.290.091.524.352,1.284.200.733.943,,140.0,12.0,1290091524352.0,1284200733943.0
IV.,IV.,IV.,1. Hàng tồn kho,141,,1.405.083.502.315,1.349.958.901.393,,141.0,,1405083502315.0,1349958901393.0
IV.,IV.,IV.,2. Dự phòng giảm giá hàng tồn kho,149,,(114.991.977.963),(65.758.167.450),,149.0,,-114991977963.0,-65758167450.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,934.876.658.901,996.357.466.471,,150.0,,934876658901.0,996357466471.0
V.,V.,V.,1. Chi phí trả trước ngắn hạn,151,13,621.038.227.150,692.500.771.861,,151.0,13.0,621038227150.0,692500771861.0
V.,V.,V.,2. Thuế giá trị gia tăng được khấu trừ,152,,268.314.490.280,175.754.512.449,,152.0,,268314490280.0,175754512449.0
V.,V.,V.,3. Thuế và các khoản khác phải thu Nhà nước,153,14,45.523.941.471,128.102.182.161,,153.0,14.0,45523941471.0,128102182161.0
