row_label_raw,row_label_full,Chỉ tiêu,Công nghệ thông tin và viễn thông > Viễn thông,Công nghệ thông tin và viễn thông > Nội dung số,Công nghệ thông tin và viễn thông > Phần mềm xuất khẩu,"Công nghệ thông tin và viễn thông > Dịch vụ công nghệ thông tin, phần mềm và giải pháp phần mềm, tích hợp hệ thống","Đầu tư, giáo dục và khác",Loại trừ hợp nhất,Tổng cộng,numeric__Công nghệ thông tin và viễn thông > Viễn thông,numeric__Công nghệ thông tin và viễn thông > Nội dung số,numeric__Công nghệ thông tin và viễn thông > Phần mềm xuất khẩu,"numeric__Công nghệ thông tin và viễn thông > Dịch vụ công nghệ thông tin, phần mềm và giải pháp phần mềm, tích hợp hệ thống","numeric__Đầu tư, giáo dục và khác",numeric__Loại trừ hợp nhất,numeric__Tổng cộng
Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,9.789.511,608.916,10.848.063,4.935.358,1.792.058,(256.946),27.716.960,9789511.0,608916.0,10848063.0,4935358.0,1792058.0,-256946.0,27716960.0
Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,,,,,,,,,,,,,,
Chi phí phân bổ trực tiếp cho bộ phận,Chi phí theo bộ phận > Chi phí phân bổ trực tiếp cho bộ phận,Chi phí phân bổ trực tiếp cho bộ phận,(8.310.578),(336.743),(9.043.060),(4.706.740),(1.458.373),285.371,(23.570.123),-8310578.0,-336743.0,-9043060.0,-4706740.0,-1458373.0,285371.0,-23570123.0
Trong đó:,Trong đó:,Trong đó:,,,,,,,,,,,,,,
- Tổng chi phí khấu hao tài sản cố định,Trong đó: > - Tổng chi phí khấu hao tài sản cố định,- Tổng chi phí khấu hao tài sản cố định,(982.683),(3.352),(277.046),(29.807),(66.017),4.291,(1.354.613),-982683.0,-3352.0,-277046.0,-29807.0,-66017.0,4291.0,-1354613.0
- Tổng phân bổ chi phí trả trước dài hạn của bộ phận,Trong đó: > - Tổng phân bổ chi phí trả trước dài hạn của bộ phận,- Tổng phân bổ chi phí trả trước dài hạn của bộ phận,(859.048),(5.448),(137.774),(25.151),(65.395),-,(1.092.816),-859048.0,-5448.0,-137774.0,-25151.0,-65395.0,,-1092816.0
Phần lãi trong công ty liên kết,Trong đó: > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,-,-,-,-,404.927,-,404.927,,,,,404927.0,,404927.0
Kết quả hoạt động kinh doanh theo bộ phận,Trong đó: > Kết quả hoạt động kinh doanh theo bộ phận,Kết quả hoạt động kinh doanh theo bộ phận,1.478.932,272.173,1.805.004,228.618,738.612,28.425,4.551.764,1478932.0,272173.0,1805004.0,228618.0,738612.0,28425.0,4551764.0
Lợi nhuận trước thuế theo bộ phận,Trong đó: > Lợi nhuận trước thuế theo bộ phận,Lợi nhuận trước thuế theo bộ phận,1.487.627,320.526,1.722.422,250.191,2.740.057,(1.856.293),4.664.530,1487627.0,320526.0,1722422.0,250191.0,2740057.0,-1856293.0,4664530.0
"Tổng chi phí đã phát sinh để mua tài sản cố định, xây dựng cơ bản đở dang và tài sản dài hạn khác","Trong đó: > Tổng chi phí đã phát sinh để mua tài sản cố định, xây dựng cơ bản đở dang và tài sản dài hạn khác","Tổng chi phí đã phát sinh để mua tài sản cố định, xây dựng cơ bản đở dang và tài sản dài hạn khác",3.745.295,3.853,1.151.000,90.263,1.033.786,(256.572),5.767.625,3745295.0,3853.0,1151000.0,90263.0,1033786.0,-256572.0,5767625.0
